Day of sim.,Day of year,Year,Air T,Radiation
 105, 38,   2,           3.50,          41.70
 106, 39,   2,           6.00,          54.40
 107, 40,   2,           5.20,          38.20
 108, 41,   2,           3.00,          54.40
 109, 42,   2,           0.90,          77.50
 110, 43,   2,           2.30,          45.10
 111, 44,   2,           3.30,          13.90
 112, 45,   2,           6.30,          12.70
 113, 46,   2,           4.70,          54.40
 114, 47,   2,           3.70,          15.00
 115, 48,   2,           4.20,          48.60
 116, 49,   2,           2.40,          18.50
 117, 50,   2,           3.10,          59.00
 118, 51,   2,           3.00,          24.30
 119, 52,   2,           4.30,          63.70
 120, 53,   2,           2.90,          48.60
 121, 54,   2,           5.50,          81.00
 122, 55,   2,           3.70,          32.40
 123, 56,   2,           3.30,          77.50
 124, 57,   2,           2.60,         122.00
 125, 58,   2,           2.00,         126.00
 126, 59,   2,           2.80,         127.00
 127, 60,   2,           1.40,          37.00
 128, 61,   2,           1.40,         133.00
 129, 62,   2,           1.10,         138.00
 130, 63,   2,           1.30,         138.00
 131, 64,   2,          -0.10,         146.00
 132, 65,   2,           1.60,         146.00
 133, 66,   2,           1.50,         148.00
 134, 67,   2,           2.40,         125.00
 135, 68,   2,          -0.10,         105.00
 136, 69,   2,           2.70,         126.00
 137, 70,   2,           3.30,         161.00
 138, 71,   2,           3.90,         155.00
 139, 72,   2,           4.20,         160.00
 140, 73,   2,           5.20,         150.00
 141, 74,   2,           5.40,         130.00
 142, 75,   2,           3.80,         134.00
 143, 76,   2,           4.50,          20.80
 144, 77,   2,           5.00,         171.00
 145, 78,   2,           4.00,         175.00
 146, 79,   2,           3.60,         179.00
 147, 80,   2,           5.50,         160.00
 148, 81,   2,           5.30,         175.00
 149, 82,   2,           5.60,         179.00
 150, 83,   2,           6.00,         181.00
 151, 84,   2,           7.80,         186.00
 152, 85,   2,           8.40,         183.00
 153, 86,   2,           5.40,         138.00
 154, 87,   2,           5.80,         117.00
 155, 88,   2,           3.10,         186.00
 156, 89,   2,           0.20,         208.00
 157, 90,   2,           0.00,         183.00
 158, 91,   2,           0.20,         154.00
 159, 92,   2,           0.80,         172.00
 160, 93,   2,           3.40,         145.00
