DOY,AIR T (°C),Tjele globalrad
275,5.0724375,56.7
276,9.91854166666666,34.7
277,12.2497916666667,33.6
278,12.2748541666667,53.2
279,12.2163125,99.5
280,15.34125,53.2
281,16.8254166666667,54.4
282,18.0879166666667,35.9
283,16.95875,60.2
284,16.8347916666667,97.2
285,13.7733333333333,92.6
286,14.42625,59
287,12.0654166666667,72.9
288,6.97633333333333,81
289,7.37366666666666,83.3
290,7.05914583333333,93.8
291,8.05439583333333,82.2
292,7.78922916666667,91.4
293,8.10445833333333,85.6
294,5.73470833333333,25.5
295,5.01985416666667,22
296,7.852375,42.8
297,8.39983333333333,52.1
298,5.04579166666667,56.7
299,4.607375,19.7
300,1.22704166666667,26.6
301,2.66745833333333,60.2
302,2.87814583333333,63.7
303,3.4599375,62.5
304,5.81877083333333,20.8
305,6.13389583333333,45.1
306,9.5381875,32.4
307,5.69952083333333,17.4
308,1.80135416666667,52.1
309,2.09945833333333,56.7
310,6.83589583333334,15
311,9.86363636363636,49.8
312,3.51137631027254,40
313,3.4438498427673,40
314,3.37632337526206,40
315,3.30879690775682,40
316,3.24127044025157,40
317,3.17374397274633,40
318,3.10621750524109,40
319,3.03869103773585,40
320,2.97116457023061,40
321,2.90363810272537,40
322,2.83611163522013,40
323,2.76858516771489,40
324,2.70105870020964,40
325,2.6335322327044,40
326,2.56600576519916,40
327,2.49847929769392,40
328,2.43095283018868,40
329,2.36342636268344,40
330,2.2958998951782,40
331,2.22837342767296,40
332,2.16084696016772,40
333,2.09332049266247,40
334,2.02579402515723,40
335,1.95826755765199,40
336,1.89074109014675,40
337,1.82321462264151,40
338,1.75568815513627,40
339,1.68816168763103,40
340,1.62063522012579,40
341,1.55310875262055,40
342,1.4855822851153,40
343,1.41805581761006,40
344,1.35052935010482,40
345,1.28300288259958,40
346,1.21547641509434,40
347,1.1479499475891,40
348,1.08042348008386,40
349,1.01289701257862,40
350,0.945370545073375,40
351,0.877844077568134,40
352,0.810317610062893,40
353,0.742791142557652,40
354,0.675264675052411,40
355,0.60773820754717,40
356,0.540211740041929,40
357,0.472685272536688,40
358,0.405158805031447,40
359,0.337632337526205,40
360,0.270105870020964,40
361,0.202579402515723,40
362,0.135052935010482,40
363,0.0675264675052407,40
364,0,40
365,0,40
