"doy","air.temp","glorad","n","year","date"
78,1.33,236,24,2016,2016-03-18
79,-4.61,241,24,2016,2016-03-19
80,-3.43,241,24,2016,2016-03-20
81,-2.17,205,24,2016,2016-03-21
82,-0.63,167,24,2016,2016-03-22
83,0.526,211,24,2016,2016-03-23
84,-3.44,36,24,2016,2016-03-24
85,-1.75,67.5,24,2016,2016-03-25
86,-2.18,247,24,2016,2016-03-26
87,2.59,232,24,2016,2016-03-27
88,4.62,19.9,24,2016,2016-03-28
89,1.83,263,24,2016,2016-03-29
90,3.11,177,24,2016,2016-03-30
91,7.47,27,24,2016,2016-03-31
92,11.2,118,24,2016,2016-04-01
93,3.07,161,24,2016,2016-04-02
94,-5.57,234,24,2016,2016-04-03
95,-6.29,259,24,2016,2016-04-04
96,-4.69,282,24,2016,2016-04-05
97,-2.36,74.8,24,2016,2016-04-06
98,1.4,89.9,24,2016,2016-04-07
99,-0.509,134,24,2016,2016-04-08
100,-5.11,291,24,2016,2016-04-09
101,-3.63,275,24,2016,2016-04-10
102,0.219,33.2,24,2016,2016-04-11
103,3.41,193,24,2016,2016-04-12
104,1.48,286,24,2016,2016-04-13
105,3.52,274,24,2016,2016-04-14
106,6.73,269,24,2016,2016-04-15
107,9.79,270,24,2016,2016-04-16
108,11.8,282,24,2016,2016-04-17
109,11.9,155,24,2016,2016-04-18
110,7.6,297,24,2016,2016-04-19
111,8.53,301,24,2016,2016-04-20
112,11.2,236,24,2016,2016-04-21
113,13.3,59.5,24,2016,2016-04-22
114,5.62,317,24,2016,2016-04-23
115,5.26,309,24,2016,2016-04-24
116,5.05,245,24,2016,2016-04-25
117,5.25,246,24,2016,2016-04-26
118,3.35,313,24,2016,2016-04-27
119,3.68,304,24,2016,2016-04-28
120,5.92,301,24,2016,2016-04-29
121,8.65,321,24,2016,2016-04-30
122,8.78,61.3,24,2016,2016-05-01
123,7.8,50.8,24,2016,2016-05-02
124,8.4,281,24,2016,2016-05-03
125,9.82,205,24,2016,2016-05-04
126,13.1,314,24,2016,2016-05-05
127,13.6,308,24,2016,2016-05-06
128,16,217,24,2016,2016-05-07
129,8.14,258,24,2016,2016-05-08
130,5.78,298,24,2016,2016-05-09
131,10.1,334,24,2016,2016-05-10
132,14,330,24,2016,2016-05-11
133,17.7,308,24,2016,2016-05-12
134,20.1,150,24,2016,2016-05-13
135,14.4,130,24,2016,2016-05-14
136,7.39,207,24,2016,2016-05-15
137,5.95,238,24,2016,2016-05-16
138,8.56,304,24,2016,2016-05-17
139,10.5,279,24,2016,2016-05-18
140,14.7,255,24,2016,2016-05-19
141,16,326,24,2016,2016-05-20
142,17.7,267,24,2016,2016-05-21
143,18.8,331,24,2016,2016-05-22
144,19.4,344,24,2016,2016-05-23
145,19.7,324,24,2016,2016-05-24
146,21,235,24,2016,2016-05-25
147,19.1,262,24,2016,2016-05-26
148,21.6,245,24,2016,2016-05-27
149,24.3,270,24,2016,2016-05-28
150,23.3,252,24,2016,2016-05-29
151,24.6,256,24,2016,2016-05-30
152,19.7,317,24,2016,2016-05-31
153,16.2,316,24,2016,2016-06-01
154,18.9,138,24,2016,2016-06-02
155,20.3,349,24,2016,2016-06-03
156,20.6,282,24,2016,2016-06-04
157,17.9,42,24,2016,2016-06-05
158,19,241,24,2016,2016-06-06
159,17,203,24,2016,2016-06-07
160,11.8,190,24,2016,2016-06-08
161,11.5,298,24,2016,2016-06-09
162,13.3,333,24,2016,2016-06-10
163,12.6,64.7,24,2016,2016-06-11
164,12.4,117,24,2016,2016-06-12
165,13.6,260,24,2016,2016-06-13
166,15.6,353,24,2016,2016-06-14
167,20.4,342,24,2016,2016-06-15
168,21.5,353,24,2016,2016-06-16
169,21.4,357,24,2016,2016-06-17
170,22.3,341,24,2016,2016-06-18
171,25.1,321,24,2016,2016-06-19
172,26,307,24,2016,2016-06-20
173,21.1,355,24,2016,2016-06-21
174,18,252,24,2016,2016-06-22
175,18.5,317,24,2016,2016-06-23
176,19.8,348,24,2016,2016-06-24
177,23.1,325,24,2016,2016-06-25
178,24.7,305,24,2016,2016-06-26
179,24.9,228,24,2016,2016-06-27
180,23.3,231,24,2016,2016-06-28
181,20,161,24,2016,2016-06-29
182,21.1,347,24,2016,2016-06-30
183,19.9,187,24,2016,2016-07-01
184,16.6,265,24,2016,2016-07-02
185,19.9,339,24,2016,2016-07-03
186,22.6,293,24,2016,2016-07-04
187,22.9,327,24,2016,2016-07-05
188,25.5,282,24,2016,2016-07-06
189,24.7,245,24,2016,2016-07-07
190,20.6,98.1,24,2016,2016-07-08
191,17.8,35.8,24,2016,2016-07-09
192,17.2,127,24,2016,2016-07-10
193,19.5,282,24,2016,2016-07-11
194,22.6,316,24,2016,2016-07-12
195,25,240,24,2016,2016-07-13
196,25,140,24,2016,2016-07-14
197,22.2,241,24,2016,2016-07-15
198,18.9,215,24,2016,2016-07-16
199,21.1,309,24,2016,2016-07-17
200,23.3,283,24,2016,2016-07-18
201,19.2,265,24,2016,2016-07-19
202,19.3,314,24,2016,2016-07-20
203,22.5,289,24,2016,2016-07-21
204,26.9,302,24,2016,2016-07-22
205,20,272,24,2015,2015-07-24
206,20,181,24,2015,2015-07-25
207,22.5,253,24,2015,2015-07-26
208,24.7,294,24,2015,2015-07-27
209,24.7,311,24,2015,2015-07-28
210,26.7,293,24,2015,2015-07-29
211,25.3,224,24,2015,2015-07-30
212,23.4,273,24,2015,2015-07-31
213,20.1,250,24,2015,2015-08-01
214,19.9,245,24,2015,2015-08-02
215,20.8,171,24,2015,2015-08-03
216,19.9,275,24,2015,2015-08-04
217,18.4,282,24,2015,2015-08-05
218,18.7,214,24,2015,2015-08-06
219,18,214,24,2015,2015-08-07
220,18,224,24,2015,2015-08-08
221,19.1,291,24,2015,2015-08-09
222,19.7,256,24,2015,2015-08-10
223,20.8,109,24,2015,2015-08-11
224,18.6,125,24,2015,2015-08-12
225,18.4,266,24,2015,2015-08-13
226,20.9,132,24,2015,2015-08-14
227,22.5,190,24,2015,2015-08-15
228,23.6,246,24,2015,2015-08-16
229,25.2,261,24,2015,2015-08-17
230,25.7,211,24,2015,2015-08-18
231,24,187,24,2015,2015-08-19
232,25.4,133,24,2015,2015-08-20
233,20.7,190,24,2015,2015-08-21
234,20.1,276,24,2015,2015-08-22
235,19.2,231,24,2015,2015-08-23
236,20.3,158,24,2015,2015-08-24
237,18.3,125,24,2015,2015-08-25
238,17.1,149,24,2015,2015-08-26
239,17.2,165,24,2015,2015-08-27
240,15.6,195,24,2015,2015-08-28
241,17.5,127,24,2015,2015-08-29
242,19.7,209,24,2015,2015-08-30
243,21.1,179,24,2015,2015-08-31
244,20.4,223,24,2015,2015-09-01
245,21.7,123,24,2015,2015-09-02
246,23.1,234,24,2015,2015-09-03
247,20.4,258,24,2015,2015-09-04
248,19.8,224,24,2015,2015-09-05
249,23.3,210,24,2015,2015-09-06
250,25.7,194,24,2015,2015-09-07
251,23.9,157,24,2015,2015-09-08
252,23.5,80.6,24,2015,2015-09-09
253,18.8,190,24,2015,2015-09-10
254,17.5,180,24,2015,2015-09-11
255,14.8,35.6,24,2015,2015-09-12
256,15.3,54.2,24,2015,2015-09-13
257,17,209,24,2015,2015-09-14
258,19.4,227,24,2015,2015-09-15
259,21.3,223,24,2015,2015-09-16
260,21.9,222,24,2015,2015-09-17
261,21.4,207,24,2015,2015-09-18
262,21.6,74.7,24,2015,2015-09-19
263,14.3,226,24,2015,2015-09-20
264,12.5,183,24,2015,2015-09-21
265,14.6,214,24,2015,2015-09-22
266,16.2,195,24,2015,2015-09-23
267,16.8,212,24,2015,2015-09-24
268,13.6,106,24,2015,2015-09-25
269,11.3,214,24,2015,2015-09-26
270,13.3,203,24,2015,2015-09-27
271,17.2,64.7,24,2015,2015-09-28
272,18.9,38.2,24,2015,2015-09-29
273,13,114,24,2015,2015-09-30
274,9.08,204,24,2015,2015-10-01
275,8.69,171,24,2015,2015-10-02
276,8.4,191,24,2015,2015-10-03
277,9.4,153,24,2015,2015-10-04
278,11.9,106,24,2015,2015-10-05
279,13.1,63.5,24,2015,2015-10-06
280,13.2,161,24,2015,2015-10-07
281,8.52,172,24,2015,2015-10-08
282,7.82,28.8,24,2015,2015-10-09
283,6.64,177,24,2015,2015-10-10
284,12,119,24,2015,2015-10-11
285,15.4,158,24,2015,2015-10-12
286,15,55.7,24,2015,2015-10-13
287,10.2,95.2,24,2015,2015-10-14
288,6.36,80.2,24,2015,2015-10-15
289,8.25,102,24,2015,2015-10-16
290,4.36,102,24,2015,2015-10-17
291,-0.0304,76,24,2015,2015-10-18
292,-0.314,86.3,24,2015,2015-10-19
293,11.5,135,24,2015,2015-10-20
294,7.46,77.9,24,2015,2015-10-21
295,9.11,124,24,2015,2015-10-22
296,4.76,139,24,2015,2015-10-23
297,3.16,61.8,24,2015,2015-10-24
298,9.02,91.2,24,2015,2015-10-25
299,3.89,148,24,2015,2015-10-26
300,0.713,63.6,19,2015,2015-10-27
301,3.27,13.2,24,2015,2015-10-28
302,9.33,79.4,24,2015,2015-10-29
303,5.83,113,24,2015,2015-10-30
304,1.16,62.6,24,2015,2015-10-31
305,7.73,30.2,24,2015,2015-11-01
306,9.49,82.7,24,2015,2015-11-02
307,9.11,114,24,2015,2015-11-03
308,7.45,120,24,2015,2015-11-04
309,10.4,103,24,2015,2015-11-05
310,16.5,27.5,24,2015,2015-11-06
311,9.15,93.8,24,2015,2015-11-07
312,3.75,119,24,2015,2015-11-08
313,5.17,116,24,2015,2015-11-09
314,3.58,72.1,24,2015,2015-11-10
315,9.07,36.2,24,2015,2015-11-11
316,8.52,6.71,24,2015,2015-11-12
317,7.91,24.8,24,2015,2015-11-13
318,0.742,37.8,24,2015,2015-11-14
319,2.77,34.1,24,2015,2015-11-15
320,5.21,110,24,2015,2015-11-16
321,0.446,106,24,2015,2015-11-17
322,1.44,49.4,24,2015,2015-11-18
323,11.8,29.6,24,2015,2015-11-19
324,7.47,90.3,24,2015,2015-11-20
325,1.39,47.6,24,2015,2015-11-21
326,3.38,43.2,24,2015,2015-11-22
327,-2.77,96,24,2015,2015-11-23
328,-3.35,34.4,24,2015,2015-11-24
329,-3.65,51.7,24,2015,2015-11-25
330,3.8,22.6,24,2015,2015-11-26
331,11.1,6.25,24,2015,2015-11-27
332,-1.46,65.1,24,2015,2015-11-28
333,-3.87,35.5,24,2015,2015-11-29
334,-3.83,44.7,24,2015,2015-11-30
335,-3.66,34.5,24,2015,2015-12-01
336,1.23,12.3,24,2015,2015-12-02
337,1.98,31.5,24,2015,2015-12-03
338,2.87,21.5,24,2015,2015-12-04
339,5.51,71.9,24,2015,2015-12-05
340,4.58,74.5,24,2015,2015-12-06
341,1.94,35,24,2015,2015-12-07
342,1.56,31.7,24,2015,2015-12-08
343,3.17,56.8,24,2015,2015-12-09
344,6.61,71.2,24,2015,2015-12-10
345,9.4,52.9,24,2015,2015-12-11
346,7.04,65.3,24,2015,2015-12-12
347,2.72,27.3,24,2015,2015-12-13
348,1.87,14,24,2015,2015-12-14
349,4.8,22.6,24,2015,2015-12-15
350,0.918,21.2,24,2015,2015-12-16
351,1.83,4.63,24,2015,2015-12-17
352,3.02,22.9,24,2015,2015-12-18
353,-0.737,42.5,24,2015,2015-12-19
354,-3.66,45,24,2015,2015-12-20
355,-0.968,6.4,23,2015,2015-12-21
356,2.96,7.18,24,2015,2015-12-22
357,3.62,15.7,24,2015,2015-12-23
358,9.98,73.3,24,2015,2015-12-24
359,5.91,49.1,24,2015,2015-12-25
360,0.798,61.7,24,2015,2015-12-26
361,0.0904,19.8,24,2015,2015-12-27
362,-7.23,60.2,24,2015,2015-12-28
363,-9.7,13.4,24,2015,2015-12-29
364,-7.42,21.6,24,2015,2015-12-30
365,-4.23,26.6,24,2015,2015-12-31
