doy	level	year
201	1.99	2016
202	2.04	2016
203	2.03	2016
204	2.01	2016
205	2.06	2016
206	2.09	2016
207	2.08	2016
212	2.18	2016
213	2.18	2016
214	2.20	2016
215	2.22	2016
216	2.22	2016
217	2.24	2016
218	2.27	2016
219	2.27	2016
220	1.87	2015
221	1.88	2015
222	1.90	2015
223	1.91	2015
224	1.97	2015
225	1.99	2015
226	2.00	2015
227	2.07	2015
228	2.04	2015
229	2.06	2015
230	2.08	2015
231	2.10	2015
232	2.12	2015
233	2.15	2015
234	2.18	2015
235	2.20	2015
236	2.21	2015
237	2.24	2015
238	2.26	2015
239	2.28	2015
240	2.29	2015
241	2.31	2015
242	2.32	2015
243	2.33	2015
244	2.35	2015
245	2.36	2015
246	2.30	2015
247	2.30	2015
248	2.15	2015
249	2.15	2015
250	2.17	2015
251	2.18	2015
252	2.20	2015
253	2.23	2015
254	2.24	2015
255	1.84	2015
257	1.82	2015
258	1.85	2015
259	1.83	2015
260	1.18	2015
261	1.12	2015
262	0.60	2015
263	0.59	2015
264	0.59	2015
265	0.59	2015
266	0.61	2015
267	0.63	2015
268	0.65	2015
269	0.67	2015
270	0.68	2015
271	0.69	2015
272	0.70	2015
273	0.77	2015
274	0.78	2015
275	0.78	2015
276	0.80	2015
277	0.80	2015
278	0.82	2015
279	0.83	2015
280	0.86	2015
281	0.87	2015
282	0.89	2015
283	0.94	2015
284	0.96	2015
285	0.97	2015
286	0.98	2015
287	1.00	2015
288	1.02	2015
289	1.03	2015
290	1.06	2015
291	1.08	2015
292	1.09	2015
293	1.10	2015
294	1.10	2015
295	1.11	2015
296	1.13	2015
297	1.15	2015
298	1.17	2015
299	1.19	2015
300	1.21	2015
301	1.23	2015
302	1.24	2015
303	1.29	2015
304	1.31	2015
305	1.32	2015
306	1.33	2015
307	1.38	2015
308	1.40	2015
309	1.41	2015
310	1.43	2015
311	1.44	2015
312	1.47	2015
313	1.49	2015
314	1.50	2015
315	1.52	2015
316	1.54	2015
317	1.56	2015
318	1.60	2015
319	1.62	2015
320	1.65	2015
321	1.67	2015
322	1.70	2015
323	1.71	2015
324	1.72	2015
325	1.76	2015
326	1.78	2015
327	1.79	2015
328	1.81	2015
329	1.84	2015
330	1.84	2015
331	0.28	2015
332	0.26	2015
333	0.28	2015
334	0.31	2015
335	0.34	2015
336	0.34	2015
337	0.37	2015
338	0.39	2015
339	0.42	2015
340	0.44	2015
341	0.45	2015
342	0.48	2015
343	0.49	2015
344	0.51	2015
345	0.53	2015
346	0.55	2015
347	0.57	2015
348	0.59	2015
349	0.61	2015
350	0.63	2015
351	0.66	2015
352	0.68	2015
353	0.70	2015
354	0.72	2015
355	0.74	2015
356	0.75	2015
357	0.77	2015
358	0.79	2015
359	0.83	2015
360	0.84	2015
361	0.86	2015
362	0.90	2015
363	0.96	2015
364	1.12	2015
365	1.13	2015
