doy,air temp,rad
293,7.1,100.7
294,7.6,106.5
295,7.7,99.5
296,7.2,91.4
297,7.1,104.2
298,7.3,96.1
299,7,83.3
300,6.7,86.8
301,6.8,88.0
302,6.4,94.9
303,5.7,89.1
304,5.9,94.9
305,6.2,88.0
306,6.1,77.5
307,5.6,75.2
308,4.9,77.5
309,4.8,77.5
310,4.4,61.3
311,3.4,64.8
312,3.2,66.0
313,3,71.8
314,2.6,61.3
315,2.2,50.9
316,1.1,60.2
317,0.7,64.8
318,1.4,64.8
319,1.5,61.3
320,1,61.3
321,1,57.9
322,1.1,68.3
323,1.2,63.7
324,1.1,52.1
325,0.2,53.2
326,-0.7,60.2
327,-0.6,60.2
328,-0.6,50.9
329,-1.1,47.5
330,-1.6,54.4
331,-1.4,59.0
332,-1,47.5
333,-1.1,48.6
334,-1.4,54.4
335,-1.4,52.1
336,-2,52.1
337,-2.9,49.8
338,-3.7,56.7
339,-3.7,56.7
340,-3.2,48.6
341,-4.2,54.4
342,-5.8,52.1
343,-6.5,47.5
344,-6.2,53.2
345,-6.5,56.7
346,-6.9,54.4
347,-6.6,53.2
348,-6.4,56.7
349,-5.7,45.1
350,-5.8,47.5
351,-7.3,56.7
352,-8.4,56.7
353,-9.2,61.3
354,-8.7,49.8
355,-7.9,56.7
356,-7.4,54.4
357,-6.8,52.1
358,-6.9,53.2
359,-7.4,46.3
360,-8.5,53.2
361,-9.6,59.0
362,-9.6,60.2
363,-8.7,53.2
364,-9.2,54.4
365,-9.9,61.3
