Day of Year,Air Temperature,Radiation W
45,-23.99375,111.111111111111
46,-17.01875,109.953703703704
47,-6.17708333333333,130.787037037037
48,-5.93541666666667,123.842592592593
49,-14.1416666666667,116.898148148148
50,-12.4104166666667,98.3796296296296
51,2.55833333333333,109.953703703704
52,-1.575,108.796296296296
53,-12.1770833333333,108.796296296296
54,-11.4645833333333,125
55,-2.66041666666666,128.472222222222
56,-0.279166666666666,129.62962962963
57,-11.3520833333333,143.518518518519
58,-5.4,134.259259259259
59,-5.4875,133.101851851852
60,-4.40625,131.944444444444
61,-13.0833333333333,133.101851851852
62,-10.0979166666667,130.787037037037
63,-16.11875,130.787037037037
64,-13.23125,155.092592592593
65,-9.23958333333333,140.046296296296
66,-3.91458333333333,143.518518518519
67,1.9125,156.25
68,3.15833333333333,163.194444444444
69,5.58958333333333,155.092592592593
70,4.40208333333334,150.462962962963
71,1.05833333333333,153.935185185185
72,2.78125,165.509259259259
73,4.60416666666667,155.092592592593
74,1.04166666666667,146.990740740741
75,2.63333333333333,170.138888888889
76,4.29166666666666,164.351851851852
77,4.75624999999999,179.398148148148
78,-0.00416666666666761,160.87962962963
79,-4.6375,167.824074074074
80,-3.38333333333334,165.509259259259
81,-1.92083333333334,171.296296296296
82,-0.29375,174.768518518519
83,0.464583333333337,190.972222222222
84,-4.19583333333334,186.342592592593
85,-1.69583333333334,172.453703703704
86,-1.23541666666667,190.972222222222
87,3.6,185.185185185185
88,4.01875,186.342592592593
89,1.74791666666667,167.824074074074
90,4.02916666666667,177.083333333333
91,8.66875,179.398148148148
92,9.45,172.453703703704
93,2.09583333333333,170.138888888889
94,-6.80833333333333,163.194444444444
95,-5.67916666666666,150.462962962963
96,-4.42708333333333,171.296296296296
97,-2.08541666666666,194.444444444444
98,2.37291666666667,206.018518518519
99,-1.92083333333333,200.231481481481
100,-5.06041666666667,202.546296296296
101,-3.07083333333334,217.592592592593
102,1.05208333333333,217.592592592593
103,3.1625,206.018518518519
104,1.75624999999999,204.861111111111
105,4.29583333333333,186.342592592593
106,7.37291666666667,194.444444444444
107,9.98333333333333,196.759259259259
108,12.7416666666667,216.435185185185
109,10.15625,219.907407407407
110,8.39583333333334,194.444444444444
111,8.53541666666667,207.175925925926
112,12.5791666666667,224.537037037037
113,11.3229166666667,211.805555555556
114,5.36041666666666,190.972222222222
115,5.75625,196.759259259259
116,4.66875000000001,218.75
117,5.46458333333333,214.12037037037
118,2.93541666666666,214.12037037037
119,3.95,188.657407407407
120,6.57708333333333,226.851851851852
121,9.17916666666667,207.175925925926
122,7.75625,206.018518518519
123,8.0375,209.490740740741
124,9.12916666666667,228.009259259259
125,9.82083333333333,202.546296296296
126,13.59375,219.907407407407
127,14.21875,240.740740740741
128,15.8020833333333,210.648148148148
129,6.01875,211.805555555556
130,6.75416666666666,223.37962962963
131,11.19375,239.583333333333
132,14.5083333333333,214.12037037037
133,18.8333333333333,226.851851851852
134,19.0208333333333,244.212962962963
135,12.9333333333333,231.481481481481
136,6.15833333333333,222.222222222222
137,6.92708333333333,212.962962962963
138,8.75208333333333,245.37037037037
139,11.49375,236.111111111111
140,14.8479166666667,219.907407407407
141,16.8416666666667,228.009259259259
142,17.9333333333333,262.731481481481
143,18.9416666666667,237.268518518519
144,19.1916666666667,237.268518518519
145,20.3375,251.157407407407
146,20.5145833333333,232.638888888889
147,19.0145833333333,222.222222222222
148,22.7875,254.62962962963
149,24.0020833333333,254.62962962963
150,23.83125,241.898148148148
151,23.9145833333333,218.75
152,17.7083333333333,219.907407407407
153,17.7625,252.314814814815
154,19.0791666666667,243.055555555556
155,20.4354166666667,247.685185185185
156,20.5583333333333,248.842592592593
157,17.3854166666667,266.203703703704
158,19.13125,252.314814814815
159,16.1354166666667,234.953703703704
160,11.0416666666667,245.37037037037
161,12.2354166666667,253.472222222222
162,13.4520833333333,265.046296296296
163,12.2666666666667,212.962962962963
164,11.9270833333333,255.787037037037
165,14.2229166666667,256.944444444444
166,16.95,254.62962962963
167,20.6458333333333,214.12037037037
168,21.5645833333333,258.101851851852
169,21.5020833333333,256.944444444444
170,22.9604166666667,241.898148148148
171,25.3770833333333,261.574074074074
172,25.8125,247.685185185185
173,19.6770833333333,241.898148148148
174,18.0291666666667,247.685185185185
175,18.7166666666667,258.101851851852
176,20.4958333333333,250
177,23.5791666666667,231.481481481481
178,25.2041666666667,248.842592592593
179,24.5770833333333,268.518518518519
180,21.975,226.851851851852
181,20.06875,261.574074074074
182,21.6604166666667,236.111111111111
183,18.5416666666667,261.574074074074
184,17.175,263.888888888889
185,20.7041666666667,248.842592592593
186,22.625,254.62962962963
187,23.76875,273.148148148148
188,25.2291666666667,270.833333333333
189,24.4458333333333,266.203703703704
190,19.64375,273.148148148148
191,17.18125,270.833333333333
192,17.3458333333333,258.101851851852
193,20.5729166666667,252.314814814815
194,22.925,245.37037037037
195,25.6916666666667,233.796296296296
196,24.0229166666667,252.314814814815
197,21.2791666666667,255.787037037037
198,19.1854166666667,241.898148148148
199,21.69375,247.685185185185
200,23.1520833333333,237.268518518519
201,18.5083333333333,232.638888888889
202,19.9729166666667,243.055555555556
203,23.3166666666667,261.574074074074
204,26.53125,255.787037037037
205,23.3875,230.324074074074
206,20.85,240.740740740741
207,22.7270833333333,233.796296296296
208,23.846875,231.481481481481
209,23.8229166666667,232.638888888889
210,22.8958333333333,224.537037037037
211,20.425,244.212962962963
212,20.075,212.962962962963
213,21.7979166666667,233.796296296296
214,23.4104166666667,221.064814814815
215,23.175,221.064814814815
216,22.9208333333333,206.018518518519
217,25.8083333333333,231.481481481481
218,25.6604166666667,236.111111111111
219,23.7666666666667,215.277777777778
220,21.6291666666667,211.805555555556
221,21.8416666666667,216.435185185185
222,22.93125,209.490740740741
223,27.1270833333333,222.222222222222
224,27.7083333333333,238.425925925926
225,22.4125,206.018518518519
226,17.8395833333333,218.75
227,21.0625,186.342592592593
228,21.4541666666667,214.12037037037
229,18.4875,209.490740740741
230,21.5395833333333,225.694444444444
231,21.8583333333333,229.166666666667
232,21.7875,218.75
233,23.6479166666667,210.648148148148
234,22.475,223.37962962963
235,16.5916666666667,211.805555555556
236,20.1104166666667,190.972222222222
237,22.6145833333333,204.861111111111
238,24.525,201.388888888889
239,23.4916666666667,188.657407407407
240,22.20625,193.287037037037
241,23.0583333333333,185.185185185185
242,19.825,185.185185185185
243,20.2104166666667,196.759259259259
244,21.4770833333333,197.916666666667
245,18.025,177.083333333333
246,16.0895833333333,178.240740740741
247,15.4916666666667,192.12962962963
248,17.06875,175.925925925926
249,18.5666666666667,155.092592592593
250,20.9333333333333,184.027777777778
251,22.5833333333333,188.657407407407
252,23.1395833333333,164.351851851852
253,22.49375,157.407407407407
254,20.35625,160.87962962963
255,16.7104166666667,153.935185185185
256,16.26875,163.194444444444
257,19.0895833333333,157.407407407407
258,17.125,160.87962962963
259,11.7583333333333,151.62037037037
260,14.0854166666667,159.722222222222
261,16.89375,152.777777777778
262,21.1291666666667,151.62037037037
263,19.7895833333333,141.203703703704
264,20.5854166666667,130.787037037037
265,19.7916666666667,134.259259259259
266,18.14375,133.101851851852
267,13.39375,152.777777777778
268,11.0166666666667,150.462962962963
269,10.4416666666667,120.37037037037
270,10.95625,129.62962962963
271,15.6520833333333,131.944444444444
272,13.9645833333333,143.518518518519
273,13.5229166666667,135.416666666667
274,14.0458333333333,126.157407407407
275,14.3791666666667,100.694444444444
276,13.59375,118.055555555556
277,15.5333333333333,122.685185185185
278,12.9958333333333,125
