Day of Year,Experimental Depth
279,0.830260340425532
280,0.858856012345679
281,0.874892447916666
282,0.890334191489362
283,0.936470603773585
284,0.961689967391305
285,0.96922646875
286,0.981382860215054
287,0.99931143956044
288,1.018038609375
289,1.03457384848485
290,1.06057843076923
291,1.08478423684211
292,1.09489030769231
293,1.09842920833333
294,1.10013338541667
295,1.11038581914894
296,1.12950413541667
297,1.14904380208333
298,1.16731831182796
299,1.1919404787234
300,1.21296110416667
301,1.23466319791667
302,1.24267591666667
303,1.28969582978723
304,1.30587007291667
305,1.32251463541667
306,1.32633608333333
307,1.37529303125
308,1.39695670212766
309,1.4104
310,1.43256111458333
311,1.44467363541667
312,1.47027219791667
313,1.48540905208333
314,1.50435691666667
315,1.52130345833333
316,1.5397362967033
317,1.56099094791667
318,1.59517505494506
319,1.623642375
320,1.64558830588235
321,1.66792844791667
322,1.69668126041667
323,1.71329863541667
324,1.72368912359551
325,1.75893260416667
326,1.776786125
327,1.78865405405405
328,1.81030559375
329,1.83644236458333
330,1.84499046153846
331,0.284783109090909
332,0.255862047058824
333,0.278953457142857
334,0.306908894736842
335,0.337209895833334
336,0.344322028571429
337,0.366355666666667
338,0.385815894736842
339,0.417263989583334
340,0.43656196875
341,0.449497405405406
342,0.476529076086957
343,0.4936771875
344,0.5120216875
345,0.529377260416667
346,0.550862645833333
347,0.568205635416667
348,0.588288395833334
349,0.610937572916667
350,0.634603739130435
351,0.655586855555556
352,0.680259114583334
353,0.703143166666667
354,0.71645685106383
355,0.743389666666666
356,0.751009029850746
357,0.769191191011236
358,0.792148448275862
359,0.825729250000001
360,0.842593177083333
361,0.863688968750001
362,0.897977937500001
363,0.958063260416667
364,1.12452143157895
365,1.12516672340426
