"dos","doy","year","mass.slurry","mass.frozen","depth.slurry","temp.air","temp.wall","temp.floor","temp.slurry","sim","date","CH4_emis_rate","CH4_emis_cum","day.of.month"
776,46,2021,3000,0,3,-2.35,-1.13,7.91,0.61,"3m",2021-02-15,54.4282725043595,43948.9560922682,"15"
804,74,2021,3000,0,3,2.33,-2.33,6.12,1.03,"3m",2021-03-15,87.8129227422178,45325.3109002784,"15"
835,105,2021,3000,0,3,8.84,-1.05,4.52,3.43,"3m",2021-04-15,786.010500095785,55843.702444315,"15"
865,135,2021,3000,0,3,14.8,2.46,3.75,7.07,"3m",2021-05-15,5009.91311693564,127413.461176988,"15"
896,166,2021,3000,0,3,18.95,7.46,3.99,11.16,"3m",2021-06-15,41076.5223761238,651163.429989588,"15"
926,196,2021,3000,0,3,19.93,12.32,5.16,14.39,"3m",2021-07-15,70817.0854409039,3159916.9601454,"15"
957,227,2021,3000,0,3,17.55,16.01,7,16.06,"3m",2021-08-15,80013.9630380459,5552678.54896044,"15"
988,258,2021,3000,0,3,12.37,17.33,8.98,15.59,"3m",2021-09-15,69065.3386490569,7904664.6234036,"15"
1018,288,2021,3000,0,3,6.05,16.01,10.5,13.21,"3m",2021-10-15,46467.8650925346,9641136.4161435,"15"
1049,319,2021,3000,0,3,-0.06,12.32,11.26,9.43,"3m",2021-11-15,22488.4720765539,10686085.5177722,"15"
1079,349,2021,3000,0,3,-3.99,7.46,10.99,5.47,"3m",2021-12-15,6822.73825356364,11093807.0852639,"15"
745,15,2021,4000,0,4,-4.9,2.46,9.76,3.3,"4m",2021-01-15,4524.87354577705,95247.2840082459,"15"
776,46,2021,4000,0,4,-2.35,-1.13,7.91,1.51,"4m",2021-02-15,595.336846828461,153212.457139138,"15"
804,74,2021,4000,0,4,2.33,-2.33,6.12,1.5,"4m",2021-03-15,357.319349341094,163877.688436642,"15"
835,105,2021,4000,0,4,8.84,-1.05,4.52,3.3,"4m",2021-04-15,1285.91815790161,185495.094554324,"15"
865,135,2021,4000,0,4,14.8,2.46,3.75,6.37,"4m",2021-05-15,5899.92914155871,278280.350289907,"15"
896,166,2021,4000,0,4,18.95,7.46,3.99,10.06,"4m",2021-06-15,36617.3710019961,792476.891775094,"15"
926,196,2021,4000,0,4,19.93,12.32,5.16,13.18,"4m",2021-07-15,99235.882872615,3738820.93031081,"15"
957,227,2021,4000,0,4,17.55,16.01,7,15.06,"4m",2021-08-15,99749.2088941187,6668038.3629575,"15"
988,258,2021,4000,0,4,12.37,17.33,8.98,15.07,"4m",2021-09-15,91987.0257167146,9697320.57520951,"15"
1018,288,2021,4000,0,4,6.05,16.01,10.5,13.27,"4m",2021-10-15,66903.0810102597,12095322.0950188,"15"
1049,319,2021,4000,0,4,-0.06,12.32,11.26,10.07,"4m",2021-11-15,36646.2403836474,13679140.882487,"15"
1079,349,2021,4000,0,4,-3.99,7.46,10.99,6.49,"4m",2021-12-15,14118.5866796672,14403333.0273694,"15"
