Day of sim.,Day of year,Year,Slurry mass,Frozen mass,Slurry depth,Air T,Wall T,Floor T,In T,Slurry T
,,,(Mg = 1000 kg),(Mg = 1000 kg),(m),(deg. C),(deg. C),(deg. C),(deg. C),(deg. C)
day,doy,year,slurry_mass,frozen_mass,slurry_depth,air_temp,wall_temp,floor_temp,in_temp,slurry_temp
 187,187,   1,  110.00,    0.00,    3.89,   19.98,   21.98,   21.95,   14.09,   14.15
 188,188,   1,  110.00,    0.00,    3.89,   19.99,   21.99,   21.97,   14.20,   14.25
 189,189,   1,  110.00,    0.00,    3.89,   20.00,   22.00,   21.98,   14.30,   14.35
 190,190,   1,  110.00,    0.00,    3.89,   20.00,   22.00,   21.99,   14.40,   14.46
 191,191,   1,  110.00,    0.00,    3.89,   20.00,   22.00,   21.99,   14.50,   14.56
 192,192,   1,  110.00,    0.00,    3.89,   19.99,   22.00,   22.00,   14.60,   14.65
 193,193,   1,  110.00,    0.00,    3.89,   19.98,   21.99,   21.99,   14.70,   14.75
 194,194,   1,  110.00,    0.00,    3.89,   19.97,   21.98,   21.99,   14.80,   14.84
 195,195,   1,  110.00,    0.00,    3.89,   19.95,   21.96,   21.98,   14.89,   14.94
 196,196,   1,  110.00,    0.00,    3.89,   19.93,   21.94,   21.97,   14.98,   15.03
 197,197,   1,  110.00,    0.00,    3.89,   19.91,   21.92,   21.95,   15.07,   15.12
 198,198,   1,  110.00,    0.00,    3.89,   19.88,   21.90,   21.93,   15.16,   15.21
 199,199,   1,  110.00,    0.00,    3.89,   19.85,   21.87,   21.91,   15.25,   15.29
 200,200,   1,  110.00,    0.00,    3.89,   19.82,   21.83,   21.88,   15.34,   15.38
 201,201,   1,  110.00,    0.00,    3.89,   19.78,   21.80,   21.85,   15.42,   15.46
 202,202,   1,  110.00,    0.00,    3.89,   19.73,   21.76,   21.81,   15.50,   15.54
 203,203,   1,  110.00,    0.00,    3.89,   19.69,   21.71,   21.77,   15.58,   15.62
 204,204,   1,  110.00,    0.00,    3.89,   19.64,   21.66,   21.73,   15.66,   15.70
 205,205,   1,  110.00,    0.00,    3.89,   19.59,   21.61,   21.68,   15.74,   15.78
 206,206,   1,  110.00,    0.00,    3.89,   19.53,   21.56,   21.64,   15.81,   15.85
 207,207,   1,  110.00,    0.00,    3.89,   19.47,   21.50,   21.58,   15.88,   15.92
 208,208,   1,  110.00,    0.00,    3.89,   19.40,   21.44,   21.53,   15.95,   15.99
 209,209,   1,  110.00,    0.00,    3.89,   19.34,   21.37,   21.47,   16.02,   16.06
 210,210,   1,  110.00,    0.00,    3.89,   19.27,   21.30,   21.40,   16.09,   16.12
 211,211,   1,  110.00,    0.00,    3.89,   19.19,   21.23,   21.33,   16.16,   16.19
 212,212,   1,  110.00,    0.00,    3.89,   19.11,   21.15,   21.26,   16.22,   16.25
 213,213,   1,  110.00,    0.00,    3.89,   19.03,   21.07,   21.19,   16.28,   16.31
 214,214,   1,  110.00,    0.00,    3.89,   18.95,   20.99,   21.11,   16.34,   16.37
 215,215,   1,  110.00,    0.00,    3.89,   18.86,   20.90,   21.03,   16.39,   16.42
 216,216,   1,  110.00,    0.00,    3.89,   18.77,   20.81,   20.94,   16.45,   16.47
 217,217,   1,  110.00,    0.00,    3.89,   18.67,   20.72,   20.86,   16.50,   16.52
 218,218,   1,  110.00,    0.00,    3.89,   18.58,   20.62,   20.77,   16.55,   16.57
 219,219,   1,  110.00,    0.00,    3.89,   18.47,   20.53,   20.67,   16.60,   16.62
 220,220,   1,  110.00,    0.00,    3.89,   18.37,   20.42,   20.57,   16.64,   16.66
 221,221,   1,  110.00,    0.00,    3.89,   18.26,   20.32,   20.47,   16.68,   16.71
 222,222,   1,  110.00,    0.00,    3.89,   18.15,   20.21,   20.37,   16.73,   16.75
 223,223,   1,  110.00,    0.00,    3.89,   18.04,   20.09,   20.26,   16.76,   16.78
 224,224,   1,  110.00,    0.00,    3.89,   17.92,   19.98,   20.15,   16.80,   16.82
 225,225,   1,  110.00,    0.00,    3.89,   17.80,   19.86,   20.03,   16.83,   16.85
 226,226,   1,  110.00,    0.00,    3.89,   17.68,   19.74,   19.92,   16.87,   16.88
 227,227,   1,  110.00,    0.00,    3.89,   17.55,   19.61,   19.80,   16.90,   16.91
 228,228,   1,  110.00,    0.00,    3.89,   17.42,   19.48,   19.67,   16.92,   16.93
 229,229,   1,  110.00,    0.00,    3.89,   17.29,   19.35,   19.55,   16.95,   16.96
 230,230,   1,  110.00,    0.00,    3.89,   17.15,   19.22,   19.42,   16.97,   16.98
 231,231,   1,  110.00,    0.00,    3.89,   17.01,   19.08,   19.28,   16.99,   17.00
 232,232,   1,  110.00,    0.00,    3.89,   16.87,   18.94,   19.15,   17.01,   17.01
 233,233,   1,  110.00,    0.00,    3.89,   16.73,   18.80,   19.01,   17.02,   17.03
 234,234,   1,  110.00,    0.00,    3.89,   16.58,   18.66,   18.87,   17.03,   17.04
 235,235,   1,  110.00,    0.00,    3.89,   16.43,   18.51,   18.73,   17.04,   17.05
 236,236,   1,  110.00,    0.00,    3.89,   16.28,   18.36,   18.58,   17.05,   17.06
 237,237,   1,  110.00,    0.00,    3.89,   16.13,   18.20,   18.43,   17.06,   17.06
 238,238,   1,  110.00,    0.00,    3.89,   15.97,   18.05,   18.28,   17.06,   17.06
 239,239,   1,  110.00,    0.00,    3.89,   15.81,   17.89,   18.12,   17.06,   17.06
 240,240,   1,  110.00,    0.00,    3.89,   15.65,   17.73,   17.97,   17.06,   17.06
 241,241,   1,  110.00,    0.00,    3.89,   15.48,   17.57,   17.81,   17.06,   17.05
 242,242,   1,  110.00,    0.00,    3.89,   15.32,   17.40,   17.65,   17.05,   17.04
 243,243,   1,  110.00,    0.00,    3.89,   15.15,   17.23,   17.48,   17.04,   17.03
 244,244,   1,  110.00,    0.00,    3.89,   14.98,   17.06,   17.32,   17.03,   17.02
 245,245,   1,  110.00,    0.00,    3.89,   14.80,   16.89,   17.15,   17.01,   17.01
 246,246,   1,  110.00,    0.00,    3.89,   14.63,   16.72,   16.98,   17.00,   16.99
 247,247,   1,  110.00,    0.00,    3.89,   14.45,   16.54,   16.80,   16.98,   16.97
 248,248,   1,  110.00,    0.00,    3.89,   14.27,   16.36,   16.63,   16.96,   16.95
 249,249,   1,  110.00,    0.00,    3.89,   14.09,   16.18,   16.45,   16.93,   16.92
 250,250,   1,  110.00,    0.00,    3.89,   13.90,   16.00,   16.27,   16.91,   16.89
 251,251,   1,  110.00,    0.00,    3.89,   13.72,   15.81,   16.09,   16.88,   16.86
 252,252,   1,  110.00,    0.00,    3.89,   13.53,   15.63,   15.90,   16.85,   16.83
 253,253,   1,  110.00,    0.00,    3.89,   13.34,   15.44,   15.72,   16.82,   16.80
 254,254,   1,  110.00,    0.00,    3.89,   13.15,   15.25,   15.53,   16.78,   16.76
 255,255,   1,  110.00,    0.00,    3.89,   12.96,   15.05,   15.34,   16.74,   16.72
 256,256,   1,  110.00,    0.00,    3.89,   12.76,   14.86,   15.15,   16.70,   16.68
 257,257,   1,  110.00,    0.00,    3.89,   12.57,   14.67,   14.96,   16.66,   16.64
 258,258,   1,  110.00,    0.00,    3.89,   12.37,   14.47,   14.76,   16.61,   16.59
 259,259,   1,  110.00,    0.00,    3.89,   12.17,   14.27,   14.57,   16.57,   16.54
