"doy","air.temp","glorad","n","year","date"
62,2.35,117,24,2021,2021-03-03
63,-1,90.9,24,2021,2021-03-04
64,-3.36,115,24,2021,2021-03-05
65,1.65,42.7,24,2021,2021-03-06
66,-0.442,71,24,2021,2021-03-07
67,-0.875,138,24,2021,2021-03-08
68,-1.76,39.9,24,2021,2021-03-09
69,-5.37,35.9,24,2021,2021-03-10
70,-1.65,40,24,2021,2021-03-11
71,1.73,36.5,24,2021,2021-03-12
72,3.08,67.4,24,2021,2021-03-13
73,1.8,48.5,24,2021,2021-03-14
74,1.88,118,24,2021,2021-03-15
75,0.958,108,24,2021,2021-03-16
76,-0.367,71.4,24,2021,2021-03-17
77,-1.41,85.8,24,2021,2021-03-18
78,-2.34,131,24,2021,2021-03-19
79,2.65,95,24,2021,2021-03-20
80,3.33,143,24,2021,2021-03-21
81,4.03,112,24,2021,2021-03-22
82,6.68,183,24,2021,2021-03-23
83,7.06,115,24,2021,2021-03-24
84,6.62,174,24,2021,2021-03-25
85,6.45,122,24,2021,2021-03-26
86,7.14,149,24,2021,2021-03-27
87,4.45,33.8,24,2021,2021-03-28
88,8.21,56.4,24,2021,2021-03-29
89,10.8,90.2,24,2021,2021-03-30
90,5.88,54.4,24,2021,2021-03-31
91,3.55,196,24,2021,2021-04-01
92,3.7,119,24,2021,2021-04-02
93,5.08,199,24,2021,2021-04-03
94,6.6,208,24,2021,2021-04-04
95,2.11,108,24,2021,2021-04-05
96,3.4,171,24,2021,2021-04-06
97,3.07,161,24,2021,2021-04-07
98,1.28,216,24,2021,2021-04-08
99,4.12,108,24,2021,2021-04-09
100,4.18,244,24,2021,2021-04-10
101,3.23,157,24,2021,2021-04-11
102,2.96,60.2,24,2021,2021-04-12
103,2.29,147,24,2021,2021-04-13
104,1.39,208,24,2021,2021-04-14
105,2.4,236,24,2021,2021-04-15
106,4.49,261,24,2021,2021-04-16
107,6.48,241,24,2021,2021-04-17
108,6.48,274,24,2021,2021-04-18
109,6.22,271,24,2021,2021-04-19
110,7.1,271,24,2021,2021-04-20
111,7.52,194,24,2021,2021-04-21
112,1.53,50.4,24,2021,2021-04-22
113,3.52,184,24,2021,2021-04-23
114,1.88,125,24,2021,2021-04-24
115,0.987,121,24,2021,2021-04-25
116,1.74,109,24,2021,2021-04-26
117,2.71,229,24,2021,2021-04-27
118,3.22,175,24,2021,2021-04-28
119,3.48,183,24,2021,2021-04-29
120,3.42,267,24,2021,2021-04-30
121,3.76,176,24,2021,2021-05-01
122,6.16,224,24,2021,2021-05-02
123,5.55,194,24,2021,2021-05-03
124,6.52,209,24,2021,2021-05-04
125,3.37,67.6,24,2021,2021-05-05
126,3.1,72.3,24,2021,2021-05-06
127,3.17,133,24,2021,2021-05-07
128,6.07,292,24,2021,2021-05-08
129,5.9,106,24,2021,2021-05-09
130,12.5,116,24,2021,2021-05-10
131,15.4,246,24,2021,2021-05-11
132,15.6,315,24,2021,2021-05-12
133,17.6,302,24,2021,2021-05-13
134,13,169,24,2021,2021-05-14
135,9.62,101,24,2021,2021-05-15
136,10.9,119,24,2021,2021-05-16
137,10.9,125,24,2021,2021-05-17
138,11.5,248,24,2021,2021-05-18
139,12.5,263,24,2021,2021-05-19
140,12.5,299,24,2021,2021-05-20
141,9.93,189,24,2021,2021-05-21
142,11.2,253,24,2021,2021-05-22
143,8.07,104,24,2021,2021-05-23
144,8.7,121,24,2021,2021-05-24
145,11.8,210,24,2021,2021-05-25
146,9.02,35.8,24,2021,2021-05-26
147,6.45,43.2,24,2021,2021-05-27
148,11.3,317,24,2021,2021-05-28
149,12.1,357,24,2021,2021-05-29
150,13.6,354,24,2021,2021-05-30
151,13.6,185,24,2021,2021-05-31
152,13,319,24,2021,2021-06-01
153,14.9,265,24,2021,2021-06-02
154,15.4,320,24,2021,2021-06-03
155,15.9,311,24,2021,2021-06-04
156,18,342,24,2021,2021-06-05
157,18.8,305,24,2021,2021-06-06
158,19.1,241,24,2021,2021-06-07
159,17.4,164,24,2021,2021-06-08
160,17.3,220,24,2021,2021-06-09
161,18.4,333,24,2021,2021-06-10
162,19.4,290,24,2021,2021-06-11
163,15.7,148,24,2021,2021-06-12
164,14.9,350,24,2021,2021-06-13
165,15.4,224,24,2021,2021-06-14
166,13,0,1,2021,2021-06-15
167,18.3,331,23,2020,2020-06-15
168,16.4,60.1,24,2020,2020-06-16
169,13.3,94.2,24,2020,2020-06-17
170,17.6,331,24,2020,2020-06-18
171,20.4,346,24,2020,2020-06-19
172,20.6,324,24,2020,2020-06-20
173,19.3,348,24,2020,2020-06-21
174,17.6,346,24,2020,2020-06-22
175,19.1,333,24,2020,2020-06-23
176,22.5,342,24,2020,2020-06-24
177,23.5,342,24,2020,2020-06-25
178,23.1,346,24,2020,2020-06-26
179,23.2,311,24,2020,2020-06-27
180,22.7,251,24,2020,2020-06-28
181,19.8,218,24,2020,2020-06-29
182,15.6,176,24,2020,2020-06-30
183,15.7,226,24,2020,2020-07-01
184,15.5,213,24,2020,2020-07-02
185,15.4,322,24,2020,2020-07-03
186,13.6,138,24,2020,2020-07-04
187,14.5,76.8,24,2020,2020-07-05
188,14.3,148,24,2020,2020-07-06
189,14.7,261,24,2020,2020-07-07
190,11.9,254,24,2020,2020-07-08
191,14.6,307,24,2020,2020-07-09
192,12.9,168,24,2020,2020-07-10
193,14.2,205,24,2020,2020-07-11
194,13.3,235,24,2020,2020-07-12
195,13.5,257,24,2020,2020-07-13
196,16,230,24,2020,2020-07-14
197,16.2,167,24,2020,2020-07-15
198,17.3,280,24,2020,2020-07-16
199,20,326,24,2020,2020-07-17
200,19.5,248,24,2020,2020-07-18
201,20.5,256,24,2020,2020-07-19
202,19.5,156,24,2020,2020-07-20
203,13.9,146,24,2020,2020-07-21
204,14.3,315,24,2020,2020-07-22
205,12.8,273,24,2020,2020-07-23
206,14.4,265,24,2020,2020-07-24
207,15.2,271,24,2020,2020-07-25
208,17.2,286,24,2020,2020-07-26
209,18.8,275,24,2020,2020-07-27
210,16.1,121,24,2020,2020-07-28
211,15.6,201,24,2020,2020-07-29
212,16,156,24,2020,2020-07-30
213,16.9,216,24,2020,2020-07-31
214,18.1,292,24,2020,2020-08-01
215,19.1,200,24,2020,2020-08-02
216,17.5,217,24,2020,2020-08-03
217,15.9,236,24,2020,2020-08-04
218,15.6,224,24,2020,2020-08-05
219,19.7,181,24,2020,2020-08-06
220,21.7,277,24,2020,2020-08-07
221,22.7,280,24,2020,2020-08-08
222,18.3,278,24,2020,2020-08-09
223,15.8,297,24,2020,2020-08-10
224,14.9,283,24,2020,2020-08-11
225,19.2,250,24,2020,2020-08-12
226,18.6,237,24,2020,2020-08-13
227,20.3,230,24,2020,2020-08-14
228,21.9,270,24,2020,2020-08-15
229,20.3,262,24,2020,2020-08-16
230,19.9,235,24,2020,2020-08-17
231,20.8,213,24,2020,2020-08-18
232,20.9,254,24,2020,2020-08-19
233,19.4,178,24,2020,2020-08-20
234,19.8,159,24,2020,2020-08-21
235,20.6,138,24,2020,2020-08-22
236,18.3,165,24,2020,2020-08-23
237,15.9,130,24,2020,2020-08-24
238,13.2,227,24,2020,2020-08-25
239,13,189,24,2020,2020-08-26
240,12.4,185,24,2020,2020-08-27
241,12.1,133,24,2020,2020-08-28
242,12.4,69.1,24,2020,2020-08-29
243,13.7,117,24,2020,2020-08-30
244,10.8,139,24,2020,2020-08-31
245,13.4,215,24,2020,2020-09-01
246,11.5,109,24,2020,2020-09-02
247,15.9,66.2,24,2020,2020-09-03
248,15.6,92.8,24,2020,2020-09-04
249,14.4,186,24,2020,2020-09-05
250,12.7,177,24,2020,2020-09-06
251,12.2,208,24,2020,2020-09-07
252,14.1,121,24,2020,2020-09-08
253,13,64.1,24,2020,2020-09-09
254,10.5,209,24,2020,2020-09-10
255,10.9,172,24,2020,2020-09-11
256,13.2,39.4,24,2020,2020-09-12
257,12.9,187,24,2020,2020-09-13
258,14.7,81.3,24,2020,2020-09-14
259,13.7,35.5,24,2020,2020-09-15
260,12.9,48.3,24,2020,2020-09-16
261,9.51,166,24,2020,2020-09-17
262,11.1,174,24,2020,2020-09-18
263,8.37,185,24,2020,2020-09-19
264,8.07,63,24,2020,2020-09-20
265,13.4,78.9,24,2020,2020-09-21
266,13.4,150,24,2020,2020-09-22
267,12.9,126,24,2020,2020-09-23
268,14.4,129,24,2020,2020-09-24
269,12.2,139,24,2020,2020-09-25
270,14.3,28.1,24,2020,2020-09-26
271,12.7,31.9,24,2020,2020-09-27
272,12.2,38,24,2020,2020-09-28
273,12.9,16.2,24,2020,2020-09-29
274,13.2,95.3,24,2020,2020-09-30
275,11.7,38.4,24,2020,2020-10-01
276,13.1,106,24,2020,2020-10-02
277,12.7,46.4,24,2020,2020-10-03
278,13.7,9.21,24,2020,2020-10-04
279,14.1,109,24,2020,2020-10-05
280,12.9,18,24,2020,2020-10-06
281,13.1,71.6,24,2020,2020-10-07
282,12.1,65.3,24,2020,2020-10-08
283,10.3,68.2,24,2020,2020-10-09
284,8.55,29.3,24,2020,2020-10-10
285,7.65,95.3,24,2020,2020-10-11
286,7.19,39.1,24,2020,2020-10-12
287,6.15,52,24,2020,2020-10-13
288,6.31,57.2,24,2020,2020-10-14
289,6.52,62.2,24,2020,2020-10-15
290,5.62,53.6,24,2020,2020-10-16
291,6.54,88,24,2020,2020-10-17
292,2.31,68.5,24,2020,2020-10-18
293,1.62,95.3,24,2020,2020-10-19
294,0.804,32.9,24,2020,2020-10-20
295,8.47,23.3,24,2020,2020-10-21
296,10.6,18.2,24,2020,2020-10-22
297,3.65,43.8,24,2020,2020-10-23
298,0.888,9.48,24,2020,2020-10-24
299,7.93,16.1,24,2020,2020-10-25
300,10.5,31,24,2020,2020-10-26
301,9.36,18.7,24,2020,2020-10-27
302,7.71,22.2,24,2020,2020-10-28
303,5.48,53.7,24,2020,2020-10-29
304,1.63,27,24,2020,2020-10-30
305,5.27,15.8,24,2020,2020-10-31
306,9.44,10.6,24,2020,2020-11-01
307,12.8,8.88,24,2020,2020-11-02
308,9.79,34.6,24,2020,2020-11-03
309,5.61,41.8,24,2020,2020-11-04
310,7.16,53.2,24,2020,2020-11-05
311,7.95,45.3,24,2020,2020-11-06
312,7.95,13.9,24,2020,2020-11-07
313,6.25,35.4,24,2020,2020-11-08
314,5.05,39.1,24,2020,2020-11-09
315,3.98,7.8,24,2020,2020-11-10
316,6.07,6.56,24,2020,2020-11-11
317,5.3,2.68,24,2020,2020-11-12
318,6.58,13,24,2020,2020-11-13
319,7,10.4,24,2020,2020-11-14
320,7.63,12.4,24,2020,2020-11-15
321,9.99,5.2,24,2020,2020-11-16
322,8.66,17.7,24,2020,2020-11-17
323,11.5,8.33,24,2020,2020-11-18
324,5.96,7.47,24,2020,2020-11-19
325,-0.442,38.2,24,2020,2020-11-20
326,1.9,3.21,24,2020,2020-11-21
327,5.53,30.2,24,2020,2020-11-22
328,2.8,35.2,24,2020,2020-11-23
329,2.16,6.41,24,2020,2020-11-24
330,7.45,4.13,24,2020,2020-11-25
331,5.18,10.5,24,2020,2020-11-26
332,-1.01,32.3,24,2020,2020-11-27
333,0.296,10.8,24,2020,2020-11-28
334,-1.28,5.05,24,2020,2020-11-29
335,-0.817,3.78,24,2020,2020-11-30
336,1.63,6.07,24,2020,2020-12-01
337,1.42,5.1,24,2020,2020-12-02
338,2.42,1.42,24,2020,2020-12-03
339,3.24,2.82,24,2020,2020-12-04
340,5.76,3.86,24,2020,2020-12-05
341,7.1,1.48,24,2020,2020-12-06
342,4.73,2.42,24,2020,2020-12-07
343,2.77,1.36,24,2020,2020-12-08
344,1.98,5.77,24,2020,2020-12-09
345,1.87,1.92,24,2020,2020-12-10
346,1.66,1.59,24,2020,2020-12-11
347,4.28,1.48,24,2020,2020-12-12
348,2.65,2.9,24,2020,2020-12-13
349,0.746,5.09,24,2020,2020-12-14
350,5.41,3.37,24,2020,2020-12-15
351,4.84,3.75,24,2020,2020-12-16
352,3.28,2.59,24,2020,2020-12-17
353,4.6,3.81,24,2020,2020-12-18
354,6.02,4.62,24,2020,2020-12-19
355,5.6,4.66,24,2020,2020-12-20
356,6.16,4.37,24,2020,2020-12-21
357,4.42,4.28,24,2020,2020-12-22
358,2.92,13.8,24,2020,2020-12-23
359,-1.91,27.6,24,2020,2020-12-24
360,-0.829,6.75,24,2020,2020-12-25
361,-3.49,3.21,24,2020,2020-12-26
362,3.25,2.1,24,2020,2020-12-27
363,3.42,1.03,24,2020,2020-12-28
364,3.88,1.95,24,2020,2020-12-29
365,1.42,4.19,24,2020,2020-12-30
366,2.26,3.3,24,2020,2020-12-31
