"doy","air.temp","glorad","year","date"
67,-1.1,154,2021,2021-03-08
68,-1.6,56.7,2021,2021-03-09
69,-5,57.9,2021,2021-03-10
70,-0.9,62.5,2021,2021-03-11
71,2.3,56.7,2021,2021-03-12
72,3.1,70.6,2021,2021-03-13
73,1.7,63.7,2021,2021-03-14
74,1.7,88,2021,2021-03-15
75,1,124,2021,2021-03-16
76,-0.3,88,2021,2021-03-17
77,-1.2,75.2,2021,2021-03-18
78,-2.1,115,2021,2021-03-19
79,3,78.7,2021,2021-03-20
80,3.5,164,2021,2021-03-21
81,4.8,81,2021,2021-03-22
82,7,170,2021,2021-03-23
83,6.7,111,2021,2021-03-24
84,6.3,155,2021,2021-03-25
85,6.5,115,2021,2021-03-26
86,6.9,138,2021,2021-03-27
87,4.3,84.5,2021,2021-03-28
88,8.1,83.3,2021,2021-03-29
89,10.5,93.8,2021,2021-03-30
90,5.9,91.4,2021,2021-03-31
91,4.5,198,2021,2021-04-01
92,4.5,108,2021,2021-04-02
93,4.7,170,2021,2021-04-03
94,6.8,251,2021,2021-04-04
95,1.8,109,2021,2021-04-05
96,3.8,153,2021,2021-04-06
97,2.9,134,2021,2021-04-07
98,2.4,231,2021,2021-04-08
99,4.2,109,2021,2021-04-09
100,4.6,272,2021,2021-04-10
101,3.6,167,2021,2021-04-11
102,3.6,102,2021,2021-04-12
103,3,161,2021,2021-04-13
104,2.3,222,2021,2021-04-14
105,3.1,251,2021,2021-04-15
106,5.6,302,2021,2021-04-16
107,7.2,236,2021,2021-04-17
108,7.6,319,2021,2021-04-18
109,7.6,330,2021,2021-04-19
110,7.9,328,2021,2021-04-20
111,7.4,237,2021,2021-04-21
112,1.6,115,2021,2021-04-22
113,3.8,190,2021,2021-04-23
114,2.5,155,2021,2021-04-24
115,1.4,127,2021,2021-04-25
116,2.2,124,2021,2021-04-26
117,3.9,231,2021,2021-04-27
118,3.7,140,2021,2021-04-28
119,4.1,141,2021,2021-04-29
120,4.3,270,2021,2021-04-30
121,4.2,171,2021,2021-05-01
122,6,189,2021,2021-05-02
123,6,211,2021,2021-05-03
124,6.2,157,2021,2021-05-04
125,2.8,131,2021,2021-05-05
126,3,131,2021,2021-05-06
127,3.3,141,2021,2021-05-07
128,6.4,258,2021,2021-05-08
129,6.1,148,2021,2021-05-09
130,12.4,174,2021,2021-05-10
131,15.6,250,2021,2021-05-11
132,15.9,411,2021,2021-05-12
133,17.8,366,2021,2021-05-13
134,12.4,171,2021,2021-05-14
135,9.9,148,2021,2021-05-15
136,11.1,166,2021,2021-05-16
137,6.9,172,2020,2020-05-16
138,6.7,207,2020,2020-05-17
139,6.7,270,2020,2020-05-18
140,7.2,157,2020,2020-05-19
141,7.8,293,2020,2020-05-20
142,10.2,375,2020,2020-05-21
143,11.5,428,2020,2020-05-22
144,9.1,160,2020,2020-05-23
145,11.9,234,2020,2020-05-24
146,11.8,273,2020,2020-05-25
147,14.7,382,2020,2020-05-26
148,12.7,189,2020,2020-05-27
149,11.2,248,2020,2020-05-28
150,11.7,228,2020,2020-05-29
151,12.7,277,2020,2020-05-30
152,14.7,456,2020,2020-05-31
153,18.7,409,2020,2020-06-01
154,14.9,456,2020,2020-06-02
155,13.1,389,2020,2020-06-03
156,13.4,236,2020,2020-06-04
157,14.2,201,2020,2020-06-05
158,12.5,175,2020,2020-06-06
159,14.6,294,2020,2020-06-07
160,15.2,231,2020,2020-06-08
161,15.2,333,2020,2020-06-09
162,15.4,469,2020,2020-06-10
163,16.6,466,2020,2020-06-11
164,18.2,420,2020,2020-06-12
165,17.7,473,2020,2020-06-13
166,17.5,475,2020,2020-06-14
167,18,370,2020,2020-06-15
168,15.3,167,2020,2020-06-16
169,14.2,169,2020,2020-06-17
170,17.9,400,2020,2020-06-18
171,20.3,462,2020,2020-06-19
172,20,443,2020,2020-06-20
173,18.7,476,2020,2020-06-21
174,17.8,316,2020,2020-06-22
175,19.3,402,2020,2020-06-23
176,22.5,471,2020,2020-06-24
177,23.4,446,2020,2020-06-25
178,22.7,463,2020,2020-06-26
179,23,410,2020,2020-06-27
180,22.5,316,2020,2020-06-28
181,19.5,260,2020,2020-06-29
182,15.9,170,2020,2020-06-30
183,15.7,207,2020,2020-07-01
184,15.9,222,2020,2020-07-02
185,15.5,351,2020,2020-07-03
186,14.5,164,2020,2020-07-04
187,15.3,171,2020,2020-07-05
188,14.9,213,2020,2020-07-06
189,14.7,256,2020,2020-07-07
190,11.9,223,2020,2020-07-08
191,14.6,381,2020,2020-07-09
192,13.1,177,2020,2020-07-10
193,14.3,191,2020,2020-07-11
194,13.8,269,2020,2020-07-12
195,14,247,2020,2020-07-13
196,16.3,183,2020,2020-07-14
197,16.4,196,2020,2020-07-15
198,18.5,362,2020,2020-07-16
199,19.9,339,2020,2020-07-17
200,19.6,240,2020,2020-07-18
201,20.9,296,2020,2020-07-19
202,19.5,183,2020,2020-07-20
203,14.8,174,2020,2020-07-21
204,15.1,363,2020,2020-07-22
205,14.1,350,2020,2020-07-23
206,15.1,316,2020,2020-07-24
207,15.6,326,2020,2020-07-25
208,17.5,300,2020,2020-07-26
209,18.4,245,2020,2020-07-27
210,16.5,154,2020,2020-07-28
211,15.6,255,2020,2020-07-29
212,15.9,206,2020,2020-07-30
213,16.7,208,2020,2020-07-31
214,18.7,378,2020,2020-08-01
215,18.9,157,2020,2020-08-02
216,17,248,2020,2020-08-03
217,16,293,2020,2020-08-04
218,15.9,207,2020,2020-08-05
219,18.7,157,2020,2020-08-06
220,21.4,307,2020,2020-08-07
221,22.3,346,2020,2020-08-08
222,18.5,337,2020,2020-08-09
223,16.5,373,2020,2020-08-10
224,15.7,337,2020,2020-08-11
225,18.3,263,2020,2020-08-12
226,18.7,267,2020,2020-08-13
227,20.7,273,2020,2020-08-14
228,21.9,343,2020,2020-08-15
229,21,336,2020,2020-08-16
230,20,260,2020,2020-08-17
231,21.1,236,2020,2020-08-18
232,20.5,293,2020,2020-08-19
233,19.4,171,2020,2020-08-20
234,20.2,190,2020,2020-08-21
235,20.4,155,2020,2020-08-22
236,17.6,171,2020,2020-08-23
237,16.2,146,2020,2020-08-24
238,14.3,244,2020,2020-08-25
239,13.9,160,2020,2020-08-26
240,13.4,228,2020,2020-08-27
241,13.1,166,2020,2020-08-28
242,12.6,117,2020,2020-08-29
243,13.8,149,2020,2020-08-30
244,11,160,2020,2020-08-31
245,13.9,243,2020,2020-09-01
246,12.7,115,2020,2020-09-02
247,16.1,105,2020,2020-09-03
248,15.6,102,2020,2020-09-04
249,14.4,201,2020,2020-09-05
250,12.8,162,2020,2020-09-06
251,12.6,218,2020,2020-09-07
252,14.3,131,2020,2020-09-08
253,13.3,91.4,2020,2020-09-09
254,10.8,252,2020,2020-09-10
255,11.7,164,2020,2020-09-11
256,13.1,84.5,2020,2020-09-12
257,13.3,193,2020,2020-09-13
258,14.9,84.5,2020,2020-09-14
259,14.5,79.9,2020,2020-09-15
260,12.6,81,2020,2020-09-16
261,9.7,171,2020,2020-09-17
262,11.3,199,2020,2020-09-18
263,9.5,221,2020,2020-09-19
264,9.1,98.4,2020,2020-09-20
265,13.7,99.5,2020,2020-09-21
266,13,120,2020,2020-09-22
267,12.9,146,2020,2020-09-23
268,14.4,113,2020,2020-09-24
269,12.4,130,2020,2020-09-25
270,14.4,79.9,2020,2020-09-26
271,13.5,93.8,2020,2020-09-27
272,12.9,76.4,2020,2020-09-28
273,13.2,61.3,2020,2020-09-29
274,12.7,90.3,2020,2020-09-30
275,11.7,60.2,2020,2020-10-01
276,12.9,113,2020,2020-10-02
277,12.8,63.7,2020,2020-10-03
278,13.5,55.6,2020,2020-10-04
279,13.9,134,2020,2020-10-05
280,12.8,53.2,2020,2020-10-06
281,12.9,75.2,2020,2020-10-07
282,12.1,56.7,2020,2020-10-08
283,10.8,62.5,2020,2020-10-09
284,9.3,52.1,2020,2020-10-10
285,8.3,99.5,2020,2020-10-11
286,7.9,56.7,2020,2020-10-12
287,6.2,59,2020,2020-10-13
288,6.5,57.9,2020,2020-10-14
289,6.7,61.3,2020,2020-10-15
290,5.7,63.7,2020,2020-10-16
291,7,86.8,2020,2020-10-17
292,3.7,56.7,2020,2020-10-18
293,2.2,89.1,2020,2020-10-19
294,2.2,40.5,2020,2020-10-20
295,8.6,38.2,2020,2020-10-21
296,10.7,34.7,2020,2020-10-22
297,4,39.4,2020,2020-10-23
298,2.5,33.6,2020,2020-10-24
299,8.4,33.6,2020,2020-10-25
300,10.7,32.4,2020,2020-10-26
301,9.4,35.9,2020,2020-10-27
302,8.3,34.7,2020,2020-10-28
303,6.7,56.7,2020,2020-10-29
304,2.4,37,2020,2020-10-30
305,6,27.8,2020,2020-10-31
306,9.5,26.6,2020,2020-11-01
307,12.7,25.5,2020,2020-11-02
308,9.7,32.4,2020,2020-11-03
309,6.3,34.7,2020,2020-11-04
310,8,50.9,2020,2020-11-05
311,9.6,33.6,2020,2020-11-06
312,8.8,23.1,2020,2020-11-07
313,6.5,24.3,2020,2020-11-08
314,5.7,25.5,2020,2020-11-09
315,4.8,22,2020,2020-11-10
316,6.7,19.7,2020,2020-11-11
317,6.1,19.7,2020,2020-11-12
318,6.7,19.7,2020,2020-11-13
319,7.3,19.7,2020,2020-11-14
320,8.1,17.4,2020,2020-11-15
321,10,17.4,2020,2020-11-16
322,8.7,19.7,2020,2020-11-17
323,11.8,16.2,2020,2020-11-18
324,6,16.2,2020,2020-11-19
325,0.6,35.9,2020,2020-11-20
326,3,15,2020,2020-11-21
327,6.6,32.4,2020,2020-11-22
328,4.1,39.4,2020,2020-11-23
329,3.7,13.9,2020,2020-11-24
330,8,12.7,2020,2020-11-25
331,5.3,13.9,2020,2020-11-26
332,0,28.9,2020,2020-11-27
333,0.4,12.7,2020,2020-11-28
334,-0.9,11.6,2020,2020-11-29
335,-0.4,12.7,2020,2020-11-30
336,1.9,11.6,2020,2020-12-01
337,2.2,11.6,2020,2020-12-02
338,3,11.6,2020,2020-12-03
339,3.5,10.4,2020,2020-12-04
340,6,11.6,2020,2020-12-05
341,7.2,10.4,2020,2020-12-06
342,4.8,10.4,2020,2020-12-07
343,2.9,9.26,2020,2020-12-08
344,2.1,9.26,2020,2020-12-09
345,2,9.26,2020,2020-12-10
346,2,9.26,2020,2020-12-11
347,4.2,9.26,2020,2020-12-12
348,2.6,9.26,2020,2020-12-13
349,0.9,11.6,2020,2020-12-14
350,5.8,9.26,2020,2020-12-15
351,4.9,9.26,2020,2020-12-16
352,4.2,9.26,2020,2020-12-17
353,5.2,9.26,2020,2020-12-18
354,5.8,9.26,2020,2020-12-19
355,5.7,9.26,2020,2020-12-20
356,5.9,9.26,2020,2020-12-21
357,4.5,9.26,2020,2020-12-22
358,3.4,12.7,2020,2020-12-23
359,-1.1,24.3,2020,2020-12-24
360,-0.7,9.26,2020,2020-12-25
361,-2,9.26,2020,2020-12-26
362,3.9,9.26,2020,2020-12-27
363,3.6,9.26,2020,2020-12-28
364,4.1,9.26,2020,2020-12-29
365,1.6,9.26,2020,2020-12-30
366,2.4,10.4,2020,2020-12-31
