"site","date","temp"
"C",2020-07-04,16.5275
"D",2020-07-04,15.579375
"A",2020-07-05,13.9075
"B",2020-07-05,16.65125
"C",2020-07-05,16.568125
"D",2020-07-05,15.80375
"A",2020-07-06,13.913125
"B",2020-07-06,16.215625
"C",2020-07-06,16.276875
"D",2020-07-06,14.50625
"A",2020-07-07,13.90125
"B",2020-07-07,16.240625
"C",2020-07-07,16.168125
"D",2020-07-07,14.7725
"A",2020-07-08,13.955
"B",2020-07-08,16.751875
"C",2020-07-08,15.84875
"D",2020-07-08,14.55125
"A",2020-07-09,13.974375
"B",2020-07-09,17.16
"C",2020-07-09,15.2275
"D",2020-07-09,14.651875
"A",2020-07-10,13.98125
"B",2020-07-10,17.105625
"C",2020-07-10,14.680625
"D",2020-07-10,14.79125
"A",2020-07-11,14.035625
"B",2020-07-11,16.955
"C",2020-07-11,14.71875
"D",2020-07-11,14.88125
"A",2020-07-12,14.0575
"B",2020-07-12,16.911875
"C",2020-07-12,15.0725
"D",2020-07-12,14.704375
"A",2020-07-13,14.07625
"B",2020-07-13,16.809375
"C",2020-07-13,14.824375
"D",2020-07-13,14.768125
"A",2020-07-14,14.111875
"B",2020-07-14,16.815625
"C",2020-07-14,15.103125
"D",2020-07-14,14.85125
"A",2020-07-15,14.129375
"B",2020-07-15,16.82125
"C",2020-07-15,15.544375
"D",2020-07-15,14.94625
"A",2020-07-16,14.166875
"B",2020-07-16,16.945
"C",2020-07-16,15.588125
"A",2020-07-17,14.329375
"B",2020-07-17,17.171875
"C",2020-07-17,16.071875
"D",2020-07-17,17.186
"A",2020-07-18,14.48375
"B",2020-07-18,17.19375
"C",2020-07-18,16.04875
"D",2020-07-18,17.37625
"A",2020-07-19,14.58875
"B",2020-07-19,17.270625
"C",2020-07-19,16.300625
"D",2020-07-19,17.586875
"A",2020-07-20,14.80375
"B",2020-07-20,17.41625
"C",2020-07-20,16.79
"D",2020-07-20,18.1525
"A",2020-07-21,14.9575
"B",2020-07-21,17.4125
"C",2020-07-21,16.7325
"D",2020-07-21,17.780625
"A",2020-07-22,15.02125
"B",2020-07-22,17.369375
"C",2020-07-22,16.229375
"D",2020-07-22,17.86125
"A",2020-07-23,15.0675
"B",2020-07-23,17.12625
"C",2020-07-23,15.61875
"D",2020-07-23,17.875
"A",2020-07-24,15.06125
"B",2020-07-24,16.93
"C",2020-07-24,15.124375
"D",2020-07-24,17.454375
"A",2020-07-25,15.058125
"B",2020-07-25,17.035
"C",2020-07-25,14.980625
"D",2020-07-25,17.440625
"A",2020-07-26,15.13625
"B",2020-07-26,17.19125
"C",2020-07-26,14.978125
"D",2020-07-26,17.259375
"A",2020-07-27,15.235625
"B",2020-07-27,17.28875
"C",2020-07-27,15.40375
"D",2020-07-27,17.375
"A",2020-07-28,15.345
"B",2020-07-28,17.3475
"C",2020-07-28,15.735
"D",2020-07-28,17.389375
"A",2020-07-29,15.336875
"B",2020-07-29,17.23375
"C",2020-07-29,15.730625
"D",2020-07-29,17.66
"A",2020-07-30,15.455625
"B",2020-07-30,17.244375
"C",2020-07-30,15.719375
"D",2020-07-30,17.52125
"A",2020-07-31,15.57
"B",2020-07-31,17.3825
"C",2020-07-31,15.9125
"D",2020-07-31,17.495625
"A",2020-08-01,15.643125
"B",2020-08-01,17.54
"C",2020-08-01,15.88625
"D",2020-08-01,17.67625
"A",2020-08-02,15.714375
"B",2020-08-02,17.688125
"C",2020-08-02,16.02
"D",2020-08-02,17.725625
"A",2020-08-03,15.6675
"B",2020-08-03,17.566875
"C",2020-08-03,16.065
"D",2020-08-03,17.211875
"A",2020-08-04,15.66
"B",2020-08-04,17.508125
"C",2020-08-04,15.855625
"D",2020-08-04,16.45
"A",2020-08-05,15.645625
"B",2020-08-05,17.45625
"C",2020-08-05,15.61
"D",2020-08-05,16.5525
"A",2020-08-06,15.68
"B",2020-08-06,17.495
"C",2020-08-06,15.61625
"D",2020-08-06,16.461875
"A",2020-08-07,15.689375
"B",2020-08-07,17.69125
"C",2020-08-07,15.7725
"D",2020-08-07,16.433125
"A",2020-08-08,15.635
"B",2020-08-08,17.76125
"C",2020-08-08,15.956875
"D",2020-08-08,16.330625
"A",2020-08-09,15.795625
"B",2020-08-09,17.933125
"C",2020-08-09,16.07375
"D",2020-08-09,16.371875
"A",2020-08-10,15.716875
"B",2020-08-10,17.919375
"C",2020-08-10,15.718125
"D",2020-08-10,16.726875
"A",2020-08-11,15.910625
"B",2020-08-11,17.660625
"C",2020-08-11,15.248125
"D",2020-08-11,17.22625
"A",2020-08-12,15.75375
"B",2020-08-12,17.961875
"C",2020-08-12,14.9725
"D",2020-08-12,17.384375
"A",2020-08-13,15.931875
"B",2020-08-13,19.03375
"C",2020-08-13,15.206875
"D",2020-08-13,17.334375
"A",2020-08-14,16.333125
"B",2020-08-14,19.82375
"C",2020-08-14,15.53875
"D",2020-08-14,17.289375
"A",2020-08-15,16.51625
"B",2020-08-15,19.9075
"C",2020-08-15,15.655625
"D",2020-08-15,17.13
"A",2020-08-16,16.785625
"B",2020-08-16,19.5225
"C",2020-08-16,15.730625
"D",2020-08-16,16.72375
"A",2020-08-17,17.065
"B",2020-08-17,19.676875
"C",2020-08-17,15.579375
"D",2020-08-17,16.179375
"A",2020-08-18,16.99875
"B",2020-08-18,19.498125
"C",2020-08-18,15.974375
"D",2020-08-18,16.99625
"A",2020-08-19,16.865625
"B",2020-08-19,19.16875
"C",2020-08-19,15.76875
"D",2020-08-19,17.00875
"A",2020-08-20,16.675625
"B",2020-08-20,19.4
"C",2020-08-20,15.631875
"D",2020-08-20,17.360625
"A",2020-08-21,16.610625
"B",2020-08-21,19.216875
"C",2020-08-21,15.67875
"D",2020-08-21,17.82125
"A",2020-08-22,16.629375
"B",2020-08-22,19.231875
"C",2020-08-22,16.130625
"D",2020-08-22,17.371875
"A",2020-08-23,16.735
"B",2020-08-23,19
"C",2020-08-23,15.909375
"D",2020-08-23,17.8475
"A",2020-08-24,16.645625
"B",2020-08-24,18.92
"C",2020-08-24,15.5525
"D",2020-08-24,17.45375
"A",2020-08-25,16.771875
"B",2020-08-25,18.614375
"C",2020-08-25,15.208125
"D",2020-08-25,17.55375
"A",2020-08-26,16.213125
"B",2020-08-26,18.114375
"C",2020-08-26,14.535
"D",2020-08-26,17.15125
"A",2020-08-27,15.168125
"B",2020-08-27,17.825625
"C",2020-08-27,14.126875
"D",2020-08-27,17.209375
"A",2020-08-28,14.840625
"B",2020-08-28,17.45125
"C",2020-08-28,13.77625
"D",2020-08-28,17.093125
"A",2020-08-29,15.175
"B",2020-08-29,17.106875
"C",2020-08-29,13.569375
"D",2020-08-29,17.38
"A",2020-08-30,15.911875
"B",2020-08-30,16.901875
"C",2020-08-30,13.656875
"D",2020-08-30,17.33125
"A",2020-08-31,15.866875
"B",2020-08-31,16.815625
"C",2020-08-31,13.86625
"D",2020-08-31,17.199375
"A",2020-09-01,15.93
"B",2020-09-01,16.43375
"C",2020-09-01,13.899375
"D",2020-09-01,16.875625
"A",2020-09-02,15.939375
"B",2020-09-02,16.29125
"C",2020-09-02,14.1775
"D",2020-09-02,16.63625
"A",2020-09-03,15.881875
"B",2020-09-03,16.28
"C",2020-09-03,14.175
"D",2020-09-03,16.71625
"A",2020-09-04,15.75375
"B",2020-09-04,16.409375
"C",2020-09-04,14.36625
"D",2020-09-04,16.539375
"A",2020-09-05,15.84375
"B",2020-09-05,16.21375
"C",2020-09-05,14.200625
"D",2020-09-05,16.5675
"A",2020-09-06,16.029375
"B",2020-09-06,15.869375
"C",2020-09-06,13.779375
"D",2020-09-06,16.523125
"A",2020-09-07,15.86875
"B",2020-09-07,15.926875
"C",2020-09-07,13.280625
"D",2020-09-07,16.45
"A",2020-09-08,15.69125
"B",2020-09-08,15.814375
"C",2020-09-08,13.198125
"D",2020-09-08,16.565
"A",2020-09-09,15.555
"B",2020-09-09,15.70125
"C",2020-09-09,13.336875
"D",2020-09-09,16.605
"A",2020-09-10,15.49375
"B",2020-09-10,15.485
"C",2020-09-10,13.2
"D",2020-09-10,16.09875
"A",2020-09-11,15.566875
"B",2020-09-11,14.993125
"C",2020-09-11,12.8225
"D",2020-09-11,16.181875
"A",2020-09-12,15.27625
"B",2020-09-12,15
"C",2020-09-12,13.203125
"D",2020-09-12,16.208125
"A",2020-09-13,15.118125
"B",2020-09-13,14.71625
"C",2020-09-13,13.10875
"D",2020-09-13,16.108125
"A",2020-09-14,14.895
"B",2020-09-14,14.825625
"C",2020-09-14,13.131875
"D",2020-09-14,16.0875
"A",2020-09-15,14.6825
"B",2020-09-15,14.89125
"C",2020-09-15,13.32
"D",2020-09-15,15.758125
"A",2020-09-16,14.613125
"B",2020-09-16,14.8675
"C",2020-09-16,13.43
"D",2020-09-16,15.78375
"A",2020-09-17,14.5175
"B",2020-09-17,14.421875
"C",2020-09-17,12.759375
"D",2020-09-17,15.653125
"A",2020-09-18,14.324375
"B",2020-09-18,14.439375
"C",2020-09-18,12.148125
"D",2020-09-18,14.595
"A",2020-09-19,14.223125
"B",2020-09-19,14.26625
"C",2020-09-19,11.87875
"D",2020-09-19,14.76125
"A",2020-09-20,14.084375
"B",2020-09-20,14.07625
"C",2020-09-20,11.39625
"D",2020-09-20,14.76875
"A",2020-09-21,13.973125
"B",2020-09-21,14.01125
"C",2020-09-21,11.338125
"D",2020-09-21,14.6725
"A",2020-09-22,13.826875
"B",2020-09-22,13.986875
"C",2020-09-22,11.41875
"D",2020-09-22,14.933125
"E",2020-09-22,22.68303125
"A",2020-09-23,13.773125
"B",2020-09-23,13.935
"C",2020-09-23,11.2325
"D",2020-09-23,14.5925
"E",2020-09-23,22.1788125
"A",2020-09-24,13.689375
"B",2020-09-24,13.91625
"C",2020-09-24,11.198125
"D",2020-09-24,14.46
"E",2020-09-24,22.2679583333333
"A",2020-09-25,13.64625
"B",2020-09-25,13.98875
"C",2020-09-25,11.266875
"D",2020-09-25,14.534375
"E",2020-09-25,16.7031875
"A",2020-09-26,13.654375
"B",2020-09-26,13.928125
"C",2020-09-26,11.53125
"D",2020-09-26,14.67
"E",2020-09-26,12.5883541666667
"A",2020-09-27,13.759375
"B",2020-09-27,13.970625
"C",2020-09-27,11.723125
"D",2020-09-27,14.7225
"E",2020-09-27,13.1239166666667
"A",2020-09-28,13.668125
"B",2020-09-28,13.986875
"C",2020-09-28,11.929375
"D",2020-09-28,14.569375
"E",2020-09-28,13.3796875
"A",2020-09-29,13.676875
"B",2020-09-29,14.053125
"C",2020-09-29,12.0125
"D",2020-09-29,14.806875
"E",2020-09-29,13.4886875
"A",2020-09-30,13.7175
"B",2020-09-30,14.094375
"C",2020-09-30,12.059375
"D",2020-09-30,14.8
"E",2020-09-30,13.3898958333333
"A",2020-10-01,13.7225
"B",2020-10-01,14.063125
"C",2020-10-01,12.045625
"D",2020-10-01,14.684375
"E",2020-10-01,13.3238333333333
"A",2020-10-02,13.661875
"B",2020-10-02,13.9371428571429
"C",2020-10-02,11.854375
"D",2020-10-02,14.59125
"E",2020-10-02,13.2121458333333
"A",2020-10-03,13.65125
"B",2020-10-03,12.9864285714286
"C",2020-10-03,11.7125
"D",2020-10-03,14.438125
"E",2020-10-03,13.2417291666667
"A",2020-10-04,13.555
"B",2020-10-04,13.48625
"C",2020-10-04,11.775
"D",2020-10-04,14.266875
"E",2020-10-04,13.2999166666667
"A",2020-10-05,13.50125
"B",2020-10-05,13.244375
"C",2020-10-05,11.91625
"D",2020-10-05,14.213125
"E",2020-10-05,13.2874375
"A",2020-10-06,13.49125
"B",2020-10-06,12.676875
"C",2020-10-06,12.011875
"D",2020-10-06,14.283125
"E",2020-10-06,13.083
"A",2020-10-07,13.440625
"B",2020-10-07,13.041875
"C",2020-10-07,12.095625
"D",2020-10-07,14.17875
"E",2020-10-07,12.9372708333333
"A",2020-10-08,13.469375
"B",2020-10-08,14.841875
"C",2020-10-08,12.204375
"D",2020-10-08,14.079375
"E",2020-10-08,12.8579791666667
"A",2020-10-09,13.41875
"B",2020-10-09,14.775
"C",2020-10-09,12.1775
"D",2020-10-09,14.040625
"E",2020-10-09,12.8039583333333
"A",2020-10-10,13.4025
"B",2020-10-10,14.53125
"C",2020-10-10,11.91625
"D",2020-10-10,13.94
"E",2020-10-10,12.7324583333333
"A",2020-10-11,13.349375
"B",2020-10-11,14.00125
"C",2020-10-11,11.635625
"D",2020-10-11,13.780625
"E",2020-10-11,12.6080416666667
"A",2020-10-12,13.219375
"B",2020-10-12,13.06875
"C",2020-10-12,11.285625
"D",2020-10-12,13.6025
"E",2020-10-12,12.4855625
"A",2020-10-13,13.084375
"B",2020-10-13,12.599375
"C",2020-10-13,11.12875
"D",2020-10-13,13.615625
"E",2020-10-13,12.3233125
"A",2020-10-14,13.0925
"B",2020-10-14,12.203125
"C",2020-10-14,10.768125
"D",2020-10-14,13.199375
"E",2020-10-14,11.90825
"A",2020-10-15,12.85875
"B",2020-10-15,12.106875
"C",2020-10-15,10.28
"D",2020-10-15,12.628125
"E",2020-10-15,11.6616875
"A",2020-10-16,12.71375
"B",2020-10-16,11.4525
"C",2020-10-16,10.235
"D",2020-10-16,12.405625
"E",2020-10-16,11.4375
"A",2020-10-17,12.475
"B",2020-10-17,11.710625
"C",2020-10-17,9.923125
"D",2020-10-17,12.52875
"E",2020-10-17,11.16825
"A",2020-10-18,12.06375
"B",2020-10-18,11.815625
"C",2020-10-18,9.50375
"D",2020-10-18,12.014375
"E",2020-10-18,10.9959166666667
"A",2020-10-19,12.18875
"B",2020-10-19,11.66125
"C",2020-10-19,8.89
"D",2020-10-19,12.496875
"E",2020-10-19,10.5950833333333
"A",2020-10-20,11.95625
"B",2020-10-20,10.544375
"D",2020-10-20,10.976875
"E",2020-10-20,10.1854375
"A",2020-10-21,11.888125
"B",2020-10-21,10.011875
"C",2020-10-21,8.7975
"D",2020-10-21,10.5775
"E",2020-10-21,10.0560416666667
"A",2020-10-22,11.634375
"B",2020-10-22,11.283125
"C",2020-10-22,9.485
"D",2020-10-22,11.490625
"E",2020-10-22,10.19125
"A",2020-10-23,11.431875
"B",2020-10-23,11.54125
"C",2020-10-23,10.10125
"D",2020-10-23,10.931875
"E",2020-10-23,10.4785625
"A",2020-10-24,11.36625
"B",2020-10-24,10.991875
"C",2020-10-24,9.516875
"D",2020-10-24,9.3525
"E",2020-10-24,10.5977291666667
"A",2020-10-25,11.1611764705882
"B",2020-10-25,10.9388888888889
"C",2020-10-25,8.85222222222222
"D",2020-10-25,9.658125
"E",2020-10-25,10.6165208333333
"A",2020-10-26,10.989375
"B",2020-10-26,11.023125
"C",2020-10-26,9.145625
"D",2020-10-26,10.685625
"E",2020-10-26,10.7275833333333
"A",2020-10-27,10.9075
"B",2020-10-27,11.12375
"C",2020-10-27,9.55
"D",2020-10-27,10.933125
"E",2020-10-27,10.7443125
"A",2020-10-28,11.005
"B",2020-10-28,10.626875
"C",2020-10-28,9.57875
"D",2020-10-28,10.863125
"E",2020-10-28,10.6721875
"A",2020-10-29,11.09375
"B",2020-10-29,10.433125
"C",2020-10-29,9.62
"D",2020-10-29,10.89125
"E",2020-10-29,10.6229166666667
"A",2020-10-30,10.976875
"B",2020-10-30,9.829375
"C",2020-10-30,9.39375
"D",2020-10-30,11.290625
"E",2020-10-30,10.6439583333333
"A",2020-10-31,11.0975
"B",2020-10-31,9.724375
"C",2020-10-31,8.995
"D",2020-10-31,11.290625
"E",2020-10-31,10.599625
"A",2020-11-01,11.030625
"B",2020-11-01,10.63125
"C",2020-11-01,8.951875
"D",2020-11-01,10.683125
"E",2020-11-01,10.5018541666667
"A",2020-11-02,11.005
"B",2020-11-02,11.33375
"C",2020-11-02,10.144375
"D",2020-11-02,10.4025
"E",2020-11-02,10.55875
"A",2020-11-03,10.9275
"B",2020-11-03,11.67625
"C",2020-11-03,10.30625
"D",2020-11-03,10.605
"E",2020-11-03,10.6643125
"A",2020-11-04,10.916875
"B",2020-11-04,11.25
"C",2020-11-04,9.195625
"D",2020-11-04,10.563125
"E",2020-11-04,10.6934583333333
"A",2020-11-05,10.874375
"B",2020-11-05,11.195
"C",2020-11-05,7.7575
"D",2020-11-05,9.73125
"E",2020-11-05,10.6679791666667
"A",2020-11-06,10.87375
"B",2020-11-06,12.351875
"C",2020-11-06,7.6725
"D",2020-11-06,9.60125
"E",2020-11-06,10.6147083333333
"A",2020-11-07,10.85125
"B",2020-11-07,12.519375
"C",2020-11-07,7.91875
"D",2020-11-07,9.640625
"E",2020-11-07,10.6743958333333
"A",2020-11-08,10.855
"B",2020-11-08,12.945
"C",2020-11-08,7.944375
"D",2020-11-08,9.63
"E",2020-11-08,10.6803333333333
"A",2020-11-09,10.795
"B",2020-11-09,12.931875
"C",2020-11-09,7.5175
"D",2020-11-09,9.66875
"E",2020-11-09,10.695625
"A",2020-11-10,10.76625
"B",2020-11-10,12.706875
"C",2020-11-10,8.010625
"D",2020-11-10,9.360625
"E",2020-11-10,10.8230625
"A",2020-11-11,10.810625
"B",2020-11-11,11.69375
"C",2020-11-11,8.918125
"D",2020-11-11,8.971875
"E",2020-11-11,10.7978125
"A",2020-11-12,10.624375
"B",2020-11-12,11.453125
"C",2020-11-12,8.749375
"D",2020-11-12,8.81125
"E",2020-11-12,10.9426041666667
"A",2020-11-13,10.785
"B",2020-11-13,11.81125
"C",2020-11-13,8.51125
"D",2020-11-13,8.47375
"E",2020-11-13,11.2587083333333
"A",2020-11-14,10.8525
"B",2020-11-14,12.243125
"C",2020-11-14,8.57
"D",2020-11-14,8.429375
"E",2020-11-14,11.1451458333333
"A",2020-11-15,10.813125
"B",2020-11-15,11.8275
"C",2020-11-15,8.5675
"D",2020-11-15,8.441875
"E",2020-11-15,10.9731041666667
"A",2020-11-16,10.7725
"B",2020-11-16,11.85
"C",2020-11-16,8.785625
"D",2020-11-16,8.536875
"E",2020-11-16,10.9653125
"A",2020-11-17,10.74625
"B",2020-11-17,10.94375
"C",2020-11-17,9.06375
"D",2020-11-17,8.69625
"E",2020-11-17,10.893875
"A",2020-11-18,10.7325
"B",2020-11-18,12.264375
"C",2020-11-18,9.309375
"D",2020-11-18,8.76625
"E",2020-11-18,10.9162083333333
"A",2020-11-19,10.69625
"B",2020-11-19,12.49
"C",2020-11-19,9.599375
"D",2020-11-19,8.88875
"E",2020-11-19,10.8865
"A",2020-11-20,10.468125
"B",2020-11-20,10.865
"C",2020-11-20,8.833125
"D",2020-11-20,8.66125
"E",2020-11-20,10.7336666666667
"A",2020-11-21,10.4525
"B",2020-11-21,9.454375
"C",2020-11-21,7.945625
"D",2020-11-21,7.92375
"E",2020-11-21,10.3448958333333
"A",2020-11-22,10.359375
"B",2020-11-22,9.045
"C",2020-11-22,7.839375
"D",2020-11-22,7.25
"E",2020-11-22,10.0422083333333
"A",2020-11-23,10.28
"B",2020-11-23,8.160625
"C",2020-11-23,7.66875
"D",2020-11-23,7.396875
"E",2020-11-23,9.895375
"A",2020-11-24,10.16
"B",2020-11-24,7.81625
"C",2020-11-24,7.42625
"D",2020-11-24,7.465
"E",2020-11-24,9.7134375
"A",2020-11-25,10.125
"B",2020-11-25,7.950625
"C",2020-11-25,7.38
"D",2020-11-25,7.120625
"E",2020-11-25,9.74635416666667
"A",2020-11-26,10.144375
"B",2020-11-26,8.388125
"C",2020-11-26,7.72375
"D",2020-11-26,7.135625
"E",2020-11-26,9.64495833333333
"A",2020-11-27,10.0325
"B",2020-11-27,7.289375
"C",2020-11-27,7.67
"D",2020-11-27,7.385
"E",2020-11-27,9.50708333333333
"A",2020-11-28,9.92875
"B",2020-11-28,6.871875
"C",2020-11-28,7.475
"D",2020-11-28,7.23625
"E",2020-11-28,9.52485416666667
"A",2020-11-29,9.56875
"B",2020-11-29,6.7125
"C",2020-11-29,7.065
"D",2020-11-29,7.139375
"E",2020-11-29,9.05860416666667
"A",2020-11-30,9.43875
"B",2020-11-30,6.4425
"C",2020-11-30,6.95375
"D",2020-11-30,6.846875
"E",2020-11-30,9.1376875
"A",2020-12-01,9.326875
"B",2020-12-01,6.33125
"C",2020-12-01,6.691875
"D",2020-12-01,6.765625
"E",2020-12-01,8.8293125
"A",2020-12-02,9.4025
"B",2020-12-02,6.36375
"C",2020-12-02,6.809375
"D",2020-12-02,6.793125
"E",2020-12-02,8.60879166666667
"A",2020-12-03,9.12875
"B",2020-12-03,6.10875
"C",2020-12-03,6.783125
"D",2020-12-03,6.4675
"E",2020-12-03,8.44460416666667
"A",2020-12-04,8.890625
"B",2020-12-04,5.918125
"C",2020-12-04,6.7475
"D",2020-12-04,6.458125
"E",2020-12-04,8.37685416666667
"A",2020-12-05,8.53
"B",2020-12-05,6.23375
"C",2020-12-05,6.7675
"D",2020-12-05,6.379375
"E",2020-12-05,8.39866666666667
"A",2020-12-06,8.516875
"B",2020-12-06,6.5225
"C",2020-12-06,6.92625
"D",2020-12-06,6.414375
"E",2020-12-06,8.27379166666667
"A",2020-12-07,8.35875
"B",2020-12-07,6.710625
"C",2020-12-07,7.09375
"D",2020-12-07,6.58125
"E",2020-12-07,8.2815
"A",2020-12-08,8.463125
"B",2020-12-08,6.455625
"C",2020-12-08,7.05875
"D",2020-12-08,6.698125
"E",2020-12-08,8.34697916666667
"A",2020-12-09,8.44375
"B",2020-12-09,6.321875
"C",2020-12-09,6.90375
"D",2020-12-09,6.85375
"E",2020-12-09,8.4425
"A",2020-12-10,8.3275
"B",2020-12-10,5.850625
"C",2020-12-10,6.69
"D",2020-12-10,6.74875
"E",2020-12-10,8.28102083333333
"A",2020-12-11,8.30125
"B",2020-12-11,5.783125
"C",2020-12-11,6.49875
"D",2020-12-11,6.47875
"E",2020-12-11,8.3760625
"A",2020-12-12,8.366875
"B",2020-12-12,5.8975
"C",2020-12-12,6.403125
"D",2020-12-12,6.2575
"E",2020-12-12,8.31641666666667
"A",2020-12-13,8.473125
"B",2020-12-13,6.12875
"C",2020-12-13,6.331875
