site,date,temp,50 cm from bottom,1 m from surface
F,2020-04-19,5.051,5.22531944444444,4.87616666666667
F,2020-04-20,5.135,5.38152083333333,4.88827777777778
F,2020-04-21,5.125,5.37910416666667,4.86990277777778
F,2020-04-22,4.992,5.22732638888889,4.75684722222222
F,2020-04-23,5.019,5.28509722222222,4.75345833333333
F,2020-04-24,5.061,5.32570833333333,4.79725
F,2020-04-25,5.139,5.40131944444444,4.87694444444445
F,2020-04-26,4.913,4.93630555555556,4.88934722222222
F,2020-04-27,5.044,5.02604166666667,5.06111805555556
F,2020-04-28,5.307,5.14321527777778,5.47146527777778
F,2020-04-29,5.570,5.37829166666667,5.76171527777778
F,2020-04-30,5.725,5.46990277777778,5.98026388888889
F,2020-05-01,5.611,5.21208333333333,6.00933333333333
F,2020-05-02,5.832,5.50959722222222,6.15447916666667
F,2020-05-03,5.823,5.40779166666667,6.23852777777778
F,2020-05-04,6.019,5.52239583333333,6.51505555555556
F,2020-05-05,6.114,5.61261111111111,6.61609722222222
F,2020-05-06,8.116,7.81565972222222,8.41571527777778
F,2020-05-13,6.981,6.04955555555556,7.91184722222222
F,2020-05-14,6.773,5.75588888888889,7.78984722222222
F,2020-05-15,7.491,6.16561111111111,8.81579861111111
F,2020-05-16,7.559,6.23524305555555,8.88273611111111
F,2020-05-17,7.531,6.25100694444445,8.81038194444445
F,2020-05-18,7.344,6.10032638888889,8.58794444444445
F,2020-05-19,7.525,6.27313194444444,8.77715277777778
F,2020-05-20,7.620,6.35296453900709,8.88667375886525
F,2020-05-21,7.795,6.48788888888889,9.10236111111111
F,2020-05-22,8.063,6.63588888888889,9.49020833333333
F,2020-05-23,8.188,6.65620833333333,9.72020833333333
F,2020-05-24,8.199,6.71619444444444,9.68236111111111
F,2020-05-25,8.363,6.78158333333333,9.94375
F,2020-05-26,8.531,6.79173611111111,10.2700694444444
F,2020-05-27,8.879,7.02459722222222,10.7333333333333
F,2020-05-28,8.891,7.09665277777778,10.6854166666667
F,2020-05-29,8.921,7.15014583333333,10.6916666666667
F,2020-05-30,8.915,7.15065972222222,10.6797916666667
F,2020-05-31,9.068,7.24260416666667,10.8935416666667
F,2020-06-01,9.379,7.446125,11.3113888888889
F,2020-06-02,9.416,7.51621527777778,11.3151388888889
F,2020-06-03,9.439,7.51264583333333,11.3646527777778
F,2020-06-04,9.618,7.47710416666667,11.7588888888889
F,2020-06-05,9.794,7.64718055555556,11.9408333333333
F,2020-06-06,9.807,7.65129861111111,11.9628472222222
F,2020-06-07,9.993,7.74694444444445,12.2395138888889
F,2020-06-08,10.092,7.91023611111111,12.2746527777778
F,2020-06-09,10.334,8.04918055555556,12.6179166666667
F,2020-06-10,10.464,8.14375,12.7842361111111
F,2020-06-11,10.653,8.17347222222222,13.1334027777778
F,2020-06-12,10.802,8.28402777777778,13.3207638888889
F,2020-06-13,10.795,8.28309523809524,13.3069047619048
F,2020-06-25,11.742,8.87144444444444,14.6125555555556
F,2020-06-26,11.887,8.883125,14.8913888888889
F,2020-06-27,11.331,9.04916666666667,13.611875
F,2020-06-28,11.042,9.150625,12.93375
F,2020-06-29,11.315,9.32652777777778,13.3025
F,2020-06-30,11.273,9.27868055555556,13.2666666666667
F,2020-07-01,11.175,9.2925,13.0575694444444
F,2020-07-02,11.212,9.40708333333333,13.0167361111111
F,2020-07-03,11.261,9.44791666666667,13.0738194444444
F,2020-07-04,11.304,9.47138888888889,13.1375694444444
F,2020-07-05,11.460,9.52291666666667,13.3969444444444
F,2020-07-06,11.471,9.51847222222222,13.4229861111111
F,2020-07-07,11.273,9.49541666666667,13.0497222222222
F,2020-07-08,11.369,9.591875,13.1470833333333
F,2020-07-09,11.581,9.63395833333333,13.5288194444444
F,2020-07-10,11.794,9.70777777777778,13.8802083333333
F,2020-07-11,11.888,9.90891843971631,13.867070035461
F,2020-07-12,12.077,10.0688888888889,14.085625
F,2020-07-13,12.409,10.1689583333333,14.6488888888889
F,2020-07-14,12.414,10.23875,14.5889583333333
F,2020-07-15,12.494,10.2432638888889,14.7440972222222
F,2020-07-16,12.723,10.3309722222222,15.1141666666667
F,2020-07-17,13.114,10.4952083333333,15.7328472222222
F,2020-07-18,13.082,10.6943055555556,15.4692361111111
F,2020-07-19,13.221,10.6796527777778,15.7615277777778
F,2020-07-20,13.259,10.8199305555556,15.6976388888889
F,2020-07-21,13.556,11.1380555555556,15.9738888888889
F,2020-07-22,13.541,11.1664583333333,15.9148611111111
F,2020-07-23,13.455,11.1750694444444,15.7341666666667
F,2020-07-24,13.620,11.140625,16.0986805555555
F,2020-07-25,13.768,11.2188194444444,16.3179166666667
F,2020-07-26,13.894,11.1995138888889,16.5886111111111
F,2020-07-27,13.794,11.1361805555556,16.4514583333333
F,2020-07-28,13.857,11.2685416666667,16.4452777777778
F,2020-07-29,14.033,11.7031944444444,16.3636111111111
F,2020-07-30,13.966,11.7586805555556,16.1740972222222
F,2020-07-31,13.940,11.4683333333333,16.4119444444444
F,2020-08-01,13.765,11.3947222222222,16.1355555555556
F,2020-08-02,14.076,11.7169444444444,16.4352777777778
F,2020-08-03,14.273,11.76875,16.7771527777778
F,2020-08-04,14.165,11.7138888888889,16.61625
F,2020-08-05,14.201,11.90875,16.4940277777778
F,2020-08-06,14.139,12.1765277777778,16.1005555555556
F,2020-08-07,14.220,12.4161805555556,16.0242361111111
F,2020-08-08,14.111,12.5205555555556,15.7020833333333
F,2020-08-09,13.890,12.53875,15.2403472222222
F,2020-08-10,13.845,12.8020833333333,14.8870833333333
F,2020-08-11,13.588,12.8321527777778,14.3436111111111
F,2020-08-12,13.433,12.7545138888889,14.1118055555556
F,2020-08-13,13.386,12.7342361111111,14.0368055555556
F,2020-08-14,13.340,12.7465277777778,13.9343055555556
F,2020-08-15,13.417,12.8184027777778,14.0165277777778
F,2020-08-16,13.495,12.9750694444444,14.0155555555556
F,2020-08-17,13.538,13.0750694444444,14.0019060283688
F,2020-08-18,13.516,13.0913194444444,13.94
F,2020-08-19,13.474,13.1607638888889,13.7875694444444
F,2020-08-20,13.566,13.2664583333333,13.865625
F,2020-08-21,13.691,13.4147222222222,13.9665277777778
F,2020-08-22,13.708,13.4527083333333,13.9632638888889
