"doy","air.temp","glorad","date","year"
202,16,132,2021-07-21,2021
203,16.5,220,2021-07-22,2021
204,17.4,249,2021-07-23,2021
205,18.8,297,2021-07-24,2021
206,19.4,119,2021-07-25,2021
207,20.6,191,2021-07-26,2021
208,19.1,209,2021-07-27,2021
209,17.1,178,2021-07-28,2021
210,14.7,163,2021-07-29,2021
211,16.8,191,2021-07-30,2021
212,16,172,2021-07-31,2021
213,14.5,188,2021-08-01,2021
214,15.1,247,2021-08-02,2021
215,14.3,251,2021-08-03,2021
216,14,166,2021-08-04,2021
217,14.9,171,2021-08-05,2021
218,17.7,237,2021-08-06,2021
219,15,86.8,2021-08-07,2021
220,15.1,135,2021-08-08,2021
221,15.8,171,2021-08-09,2021
222,14.8,131,2021-08-10,2021
223,15.8,209,2021-08-11,2021
224,17.7,152,2021-08-12,2021
225,17.1,150,2021-08-13,2021
226,15.4,181,2021-08-14,2021
227,15.1,153,2021-08-15,2021
228,12.7,78.7,2021-08-16,2021
229,15.8,225,2021-08-17,2021
230,14.3,82.2,2021-08-18,2021
231,14.4,197,2021-08-19,2021
232,13.8,166,2021-08-20,2021
233,13.4,171,2021-08-21,2021
234,14.2,212,2021-08-22,2021
235,15,244,2021-08-23,2021
236,14.9,229,2021-08-24,2021
237,16.4,138,2021-08-25,2021
238,14,76.4,2021-08-26,2021
239,14.9,49.8,2021-08-27,2021
240,15,101,2021-08-28,2021
241,16.3,145,2021-08-29,2021
242,15.7,228,2021-08-30,2021
243,15.4,220,2021-08-31,2021
244,15.5,207,2021-09-01,2021
245,15.4,168,2021-09-02,2021
246,14.7,215,2021-09-03,2021
247,13.9,218,2021-09-04,2021
248,12.9,219,2021-09-05,2021
249,12.4,115,2021-09-06,2021
250,15.2,113,2021-09-07,2021
251,18.3,182,2021-09-08,2021
252,18.1,190,2021-09-09,2021
253,17.3,84.5,2021-09-10,2021
254,17.8,79.9,2021-09-11,2021
255,15.8,90.3,2021-09-12,2021
256,15,71.8,2021-09-13,2021
257,14.9,139,2021-09-14,2021
258,13.7,37,2021-09-15,2021
259,13.6,46.3,2021-09-16,2021
260,11.5,45.1,2021-09-17,2021
261,13,52.1,2021-09-18,2021
262,10.8,56.7,2021-09-19,2021
263,10.6,90.3,2021-09-20,2021
264,11.5,86.8,2021-09-21,2021
265,14.4,157,2021-09-22,2021
266,13.2,66,2021-09-23,2021
267,13.2,50.9,2021-09-24,2021
268,13,144,2021-09-25,2021
269,13.3,117,2021-09-26,2021
270,15.2,25.5,2021-09-27,2021
271,13.4,138,2021-09-28,2021
272,12.2,79.9,2021-09-29,2021
273,10.8,75.2,2021-09-30,2021
274,12.1,31.2,2021-10-01,2021
275,13.5,56.7,2020-10-01,2020
276,14.2,34.7,2020-10-02,2020
277,14.6,33.6,2020-10-03,2020
278,13.4,53.2,2020-10-04,2020
279,12,99.5,2020-10-05,2020
280,11.1,53.2,2020-10-06,2020
281,11.1,54.4,2020-10-07,2020
282,10,35.9,2020-10-08,2020
283,9.1,60.2,2020-10-09,2020
284,8.1,97.2,2020-10-10,2020
285,7.6,92.6,2020-10-11,2020
286,7.8,59,2020-10-12,2020
287,8.6,72.9,2020-10-13,2020
288,7.2,81,2020-10-14,2020
289,6.7,83.3,2020-10-15,2020
290,6,93.8,2020-10-16,2020
291,7.7,82.2,2020-10-17,2020
292,6.7,91.4,2020-10-18,2020
293,7.1,85.6,2020-10-19,2020
294,8.4,25.5,2020-10-20,2020
295,12.3,22,2020-10-21,2020
296,12.4,42.8,2020-10-22,2020
297,10.3,52.1,2020-10-23,2020
298,10.4,56.7,2020-10-24,2020
299,11.6,19.7,2020-10-25,2020
300,9.3,26.6,2020-10-26,2020
301,8.4,60.2,2020-10-27,2020
302,9,63.7,2020-10-28,2020
303,8.2,62.5,2020-10-29,2020
304,9.6,20.8,2020-10-30,2020
305,9.7,45.1,2020-10-31,2020
306,11.1,32.4,2020-11-01,2020
307,13.7,17.4,2020-11-02,2020
308,8.7,52.1,2020-11-03,2020
309,7.8,56.7,2020-11-04,2020
310,10.1,15,2020-11-05,2020
311,10.9,49.8,2020-11-06,2020
312,8.6,20.8,2020-11-07,2020
313,6.4,53.2,2020-11-08,2020
314,7.7,16.2,2020-11-09,2020
315,7.5,12.7,2020-11-10,2020
316,5.8,5.79,2020-11-11,2020
317,7.2,9.26,2020-11-12,2020
318,7.7,38.2,2020-11-13,2020
319,7.2,27.8,2020-11-14,2020
320,11.3,31.2,2020-11-15,2020
321,9.1,31.2,2020-11-16,2020
322,10.4,9.26,2020-11-17,2020
323,11.4,15,2020-11-18,2020
324,6.3,35.9,2020-11-19,2020
325,3.8,35.9,2020-11-20,2020
326,8.1,9.26,2020-11-21,2020
327,7.1,28.9,2020-11-22,2020
328,6.4,26.6,2020-11-23,2020
329,9,4.63,2020-11-24,2020
330,7.5,10.4,2020-11-25,2020
331,7.4,26.6,2020-11-26,2020
332,2.4,32.4,2020-11-27,2020
333,0.1,19.7,2020-11-28,2020
334,1.2,4.63,2020-11-29,2020
335,1,8.1,2020-11-30,2020
336,3.5,5.79,2020-12-01,2020
337,3.5,4.63,2020-12-02,2020
338,1.8,6.94,2020-12-03,2020
339,2.7,9.26,2020-12-04,2020
340,4.2,4.63,2020-12-05,2020
341,3.9,5.79,2020-12-06,2020
342,6.6,4.63,2020-12-07,2020
343,4.7,10.4,2020-12-08,2020
344,4.2,6.94,2020-12-09,2020
345,3,2.31,2020-12-10,2020
346,2.2,2.31,2020-12-11,2020
347,3.5,2.31,2020-12-12,2020
348,3.7,6.94,2020-12-13,2020
349,5.5,3.47,2020-12-14,2020
350,7.6,4.63,2020-12-15,2020
351,6.4,9.26,2020-12-16,2020
352,6.7,5.79,2020-12-17,2020
353,7.2,9.26,2020-12-18,2020
354,5.6,23.1,2020-12-19,2020
355,8,8.1,2020-12-20,2020
356,6,17.4,2020-12-21,2020
357,6.2,10.4,2020-12-22,2020
358,3.9,12.7,2020-12-23,2020
359,0.8,18.5,2020-12-24,2020
360,-0.6,25.5,2020-12-25,2020
361,3,8.1,2020-12-26,2020
362,3.7,5.79,2020-12-27,2020
363,2.5,4.63,2020-12-28,2020
364,2.6,2.31,2020-12-29,2020
365,2.6,6.94,2020-12-30,2020
366,1.7,5.79,2020-12-31,2020
