site,year,doy,temp
F,2016,37,2.68203
F,2016,38,2.09222
F,2016,39,1.27862
F,2016,40,1.37140
F,2016,41,1.58505
F,2016,42,-0.1745
F,2016,43,0.26637
F,2016,44,-1.4247
F,2016,45,-1.3818
F,2016,46,-0.6864
F,2016,47,1.12200
F,2016,48,2.39318
F,2016,49,1.62059
F,2016,50,1.65567
F,2016,51,4.02174
F,2016,52,3.12341
F,2016,53,1.30993
F,2016,54,0.95819
F,2016,55,2.27911
F,2016,56,2.67368
F,2016,57,0.92770
F,2016,58,1.89364
F,2016,59,1.87136
F,2016,60,2.05518
F,2016,61,1.04392
F,2016,62,1.37724
F,2016,63,2.47168
F,2016,64,2.77312
F,2016,65,3.24551
F,2016,66,3.62242
F,2016,67,4.08909
F,2016,68,4.33529
F,2016,69,4.69996
F,2016,70,4.41983
F,2016,71,3.69869
F,2016,72,3.69771
F,2016,73,3.96622
F,2016,74,3.31027
F,2016,75,3.83480
F,2016,76,4.05625
F,2016,77,4.43616
F,2016,78,4.33775
F,2016,79,3.98390
F,2016,80,4.18195
F,2016,81,4.58680
F,2016,82,4.87823
F,2016,83,4.90318
F,2016,84,4.28513
F,2016,85,4.69207
F,2016,86,4.84925
F,2016,87,5.47936
F,2016,88,5.69641
F,2016,89,5.29296
F,2016,90,5.77318
F,2016,91,6.09236
F,2016,92,5.89541
F,2016,93,5.02083
F,2016,94,4.11809
F,2016,95,
F,2016,96,
F,2016,97,
F,2016,98,
F,2016,99,
F,2016,100,
F,2016,101,
F,2016,102,
F,2016,103,
F,2016,104,
F,2016,105,
F,2016,106,
F,2016,107,
F,2016,108,
F,2016,109,
F,2016,110,
F,2016,111,
F,2016,112,
F,2016,113,
F,2016,114,
F,2016,115,
F,2016,116,
F,2016,117,
F,2016,118,
F,2016,119,
F,2016,120,
F,2016,121,
F,2016,122,
F,2016,123,
F,2016,124,
F,2016,125,
F,2016,126,
F,2016,127,
F,2016,128,
F,2016,129,
F,2016,130,
F,2016,131,
F,2016,132,
F,2016,133,14.053
F,2016,134,14.658
F,2016,135,13.114
F,2016,136,11.424
F,2016,137,11.021
F,2016,138,11.899
F,2016,139,13.065
F,2016,140,13.590
F,2016,141,14.461
F,2016,142,14.659
F,2016,143,15.711
F,2016,144,16.150
F,2016,145,16.546
F,2016,146,16.709
F,2016,147,17.048
F,2016,148,17.590
F,2016,149,18.539
F,2016,150,19.192
F,2016,151,18.574
F,2016,152,17.955
F,2016,153,18.121
F,2016,154,17.969
F,2016,155,18.449
F,2016,156,18.691
F,2016,157,17.721
F,2016,158,17.922
F,2016,159,17.751
F,2016,160,16.665
F,2016,161,16.504
F,2016,162,16.527
F,2016,163,16.094
F,2016,164,15.706
F,2016,165,15.834
F,2016,166,16.287
F,2016,167,17.398
F,2016,168,17.784
F,2016,169,17.636
F,2016,170,17.723
F,2016,171,17.685
F,2016,172,18.104
F,2016,173,17.671
F,2016,174,16.896
F,2016,175,18.017
F,2016,176,18.735
F,2016,177,18.879
F,2016,178,19.138
F,2016,179,19.302
F,2016,180,18.150
F,2016,181,18.800
F,2016,182,18.363
F,2016,183,17.670
F,2016,184,17.192
F,2016,185,17.729
F,2016,186,18.086
F,2016,187,18.462
F,2016,188,18.766
F,2016,189,19.189
F,2016,190,19.150
F,2016,191,
F,2016,192,
F,2016,193,
F,2016,194,
F,2016,195,
F,2016,196,
F,2016,197,21.381
F,2016,198,21.598
F,2016,199,21.650
F,2016,200,21.887
F,2016,201,21.940
F,2016,202,22.000
F,2016,203,22.253
F,2016,204,22.449
F,2016,205,22.546
F,2016,206,22.617
F,2016,207,22.663
F,2016,208,
F,2016,209,
F,2016,210,
F,2016,211,
F,2016,212,24.104
F,2016,213,24.019
F,2016,214,23.900
F,2016,215,23.888
F,2016,216,23.861
F,2016,217,24.079
F,2016,218,24.276
F,2016,219,24.269
F,2016,220,24.102
F,2016,221,23.971
F,2016,222,23.970
F,2016,223,24.080
F,2016,224,24.276
F,2016,225,24.241
F,2016,226,23.691
F,2016,227,23.661
F,2016,228,23.726
F,2016,229,23.773
F,2016,230,23.932
F,2016,231,24.113
F,2016,232,24.145
F,2016,233,24.239
F,2016,234,23.998
F,2016,235,23.237
F,2016,236,23.366
F,2016,237,23.569
F,2016,238,23.615
F,2016,239,23.633
F,2016,240,23.735
F,2016,241,23.797
F,2016,242,23.748
F,2016,243,23.696
F,2016,244,23.636
F,2016,245,23.463
F,2016,246,20.844
F,2016,247,23.144
F,2016,248,23.146
F,2016,249,23.165
F,2016,250,23.225
F,2016,251,23.151
F,2016,252,23.050
F,2016,253,22.992
F,2016,254,22.971
F,2016,255,22.780
F,2016,256,22.525
F,2016,257,22.404
F,2016,258,22.086
F,2016,259,21.827
F,2016,260,21.688
F,2016,261,21.333
F,2016,262,21.301
F,2016,263,21.388
F,2016,264,21.394
F,2016,265,21.268
F,2016,266,21.178
F,2016,267,20.919
F,2016,268,20.597
F,2016,269,20.342
F,2016,270,20.011
F,2016,271,19.694
F,2016,272,19.299
F,2016,273,19.032
F,2016,274,18.714
F,2016,275,18.498
F,2016,276,18.325
F,2016,277,18.206
