"doy","mean.temp","Solar.rad.","x"
210,17.2,208,2020
211,15.8,220,2020
212,16.8,214,2020
213,16.7,208,2020
214,18.7,378,2020
215,18.9,157,2020
216,17,248,2020
217,16,293,2020
218,15.9,207,2020
219,18.7,157,2020
220,21.4,307,2020
221,22.3,346,2020
222,18.5,337,2020
223,16.5,373,2020
224,15.7,337,2020
225,18.3,263,2020
226,18.7,267,2020
227,20.7,273,2020
228,21.9,343,2020
229,21,336,2020
230,20,260,2020
231,21.1,236,2020
232,20.5,293,2020
233,19.4,171,2020
234,20.2,190,2020
235,20.4,155,2020
236,17.6,171,2020
237,16.2,146,2020
238,14.3,244,2020
239,13.9,160,2020
240,13.4,228,2020
241,13.1,166,2020
242,12.6,117,2020
243,13.8,149,2020
244,11,160,2020
245,13.9,243,2020
246,12.7,115,2020
247,16.1,105,2020
248,15.6,102,2020
249,14.4,201,2020
250,12.8,162,2020
251,12.6,218,2020
252,14.3,131,2020
253,13.3,91.4,2020
254,10.8,252,2020
255,11.7,164,2020
256,13.1,84.5,2020
257,13.3,193,2020
258,14.9,84.5,2020
259,14.5,79.9,2020
260,12.6,81,2020
261,9.7,171,2020
262,11.3,199,2020
263,9.5,221,2020
264,9.1,98.4,2020
265,13.7,99.5,2020
266,13,120,2020
267,12.9,146,2020
268,14.4,113,2020
269,12.4,130,2020
270,14.4,79.9,2020
271,13.5,93.8,2020
272,12.9,76.4,2020
273,13.2,61.3,2020
274,12.7,90.3,2020
275,11.7,60.2,2020
276,12.9,113,2020
277,12.8,63.7,2020
278,13.5,55.6,2020
279,13.9,134,2020
280,12.8,53.2,2020
281,12.9,75.2,2020
282,12.1,56.7,2020
283,10.8,62.5,2020
284,9.3,52.1,2020
285,8.3,99.5,2020
286,7.9,56.7,2020
287,6.2,59,2020
288,6.5,57.9,2020
289,6.7,61.3,2020
290,5.7,63.7,2020
291,7,86.8,2020
292,3.7,56.7,2020
293,2.2,89.1,2020
294,2.2,40.5,2020
295,8.6,38.2,2020
296,10.7,34.7,2020
297,4,39.4,2020
298,2.5,33.6,2020
299,8.4,33.6,2020
300,10.7,32.4,2020
301,9.4,35.9,2020
302,8.3,34.7,2020
303,6.7,56.7,2020
304,2.4,37,2020
305,6,27.8,2020
306,9.5,26.6,2020
307,12.7,25.5,2020
308,9.7,32.4,2020
309,6.3,34.7,2020
310,8,50.9,2020
311,9.6,33.6,2020
312,8.8,23.1,2020
313,6.5,24.3,2020
314,5.7,25.5,2020
315,4.8,22,2020
316,6.7,19.7,2020
317,6.1,19.7,2020
318,6.7,19.7,2020
319,7.3,19.7,2020
320,8.1,17.4,2020
321,10,17.4,2020
322,8.7,19.7,2020
323,11.8,16.2,2020
324,6,16.2,2020
325,0.6,35.9,2020
326,3,15,2020
327,6.6,32.4,2020
328,4.1,39.4,2020
329,3.7,13.9,2020
330,8,12.7,2020
331,5.3,13.9,2020
332,0,28.9,2020
333,0.4,12.7,2020
334,-0.9,11.6,2020
335,-0.4,12.7,2020
336,1.9,11.6,2020
337,2.2,11.6,2020
338,3,11.6,2020
339,3.5,10.4,2020
340,6,11.6,2020
341,7.2,10.4,2020
342,4.8,10.4,2020
343,2.9,9.26,2020
344,2.1,9.26,2020
345,2,9.26,2020
346,2,9.26,2020
347,4.2,9.26,2020
348,2.6,9.26,2020
349,0.9,11.6,2020
350,5.8,9.26,2020
351,4.9,9.26,2020
352,4.2,9.26,2020
353,5.2,9.26,2020
354,5.8,9.26,2020
355,5.7,9.26,2020
356,5.9,9.26,2020
357,4.5,9.26,2020
358,3.4,12.7,2020
359,-1.1,24.3,2020
360,-0.7,9.26,2020
361,-2,9.26,2020
362,3.9,9.26,2020
363,3.6,9.26,2020
364,4.1,9.26,2020
365,1.6,9.26,2020
366,2.4,10.4,2020
